,SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
0,10003496,2.8,6.5,,,,3.75,5.75,7.0,3.6,,5.5,,,16.0,12.9,
1,10003500,4.6,7.0,,,,4.0,5.5,6.5,3.2,,5.33,,,16.5,14.8,
2,10003506,3.6,2.0,,,,3.75,5.75,7.25,2.8,,5.58,,,11.5,8.4,
3,10003510,4.0,6.0,,,,4.0,3.75,6.25,2.6,,4.67,,,13.75,12.6,
4,10003514,3.6,5.0,,,,2.75,3.25,4.75,3.2,,3.58,,,11.0,11.8,
5,10003518,4.6,5.0,,,,2.75,5.25,8.25,2.6,,5.42,,,13.0,12.2,
6,10003521,2.8,1.75,,,,2.5,5.0,6.25,2.6,,4.58,,,9.25,7.15,
7,10003524,5.2,7.25,,,,3.5,6.0,6.0,3.6,,5.17,,,16.75,16.05,
8,10003527,4.0,6.0,4.5,4.25,6.25,,,,3.4,5.0,,12.75,14.5,,13.4,11.9
9,10003531,2.4,3.0,,,,3.25,6.5,8.25,2.6,,6.0,,,12.75,8,
10,10003537,3.6,6.25,,,,4.25,7.0,8.0,3.6,,6.42,,,17.5,13.45,
11,10003543,4.2,2.0,,,,5.75,6.0,8.25,2.6,,6.67,,,13.75,8.8,
12,10003544,5.2,5.25,5.25,5.0,4.0,,,,3.4,4.75,,15.45,14.2,,13.85,13.85
13,10003545,2.8,5.5,,,,2.25,5.5,4.0,2.0,,3.92,,,13.25,10.3,
14,10003552,3.0,5.75,,,,2.75,5.25,6.0,3.2,,4.67,,,13.75,11.95,
15,10003556,4.8,7.0,3.5,4.25,4.75,,,,4.0,4.17,,12.55,13.8,,15.8,12.3
16,10003603,3.4,7.0,,,,5.25,7.25,9.0,3.2,,7.17,,,19.5,13.6,
17,10003613,4.2,7.25,3.0,5.0,5.75,,,,2.2,4.58,,12.2,14.95,,13.65,9.4
18,10003620,3.8,5.75,,,,3.25,5.75,7.75,2.4,,5.58,,,14.75,11.95,
19,10003628,5.8,6.75,,,,5.5,7.75,7.75,4.6,,7.0,,,20.0,17.15,
20,10003636,3.6,6.25,,,,3.0,5.25,7.25,3.8,,5.17,,,14.5,13.65,
21,10003644,3.0,3.25,,,,2.75,3.75,4.75,1.2,,3.75,,,9.75,7.45,
22,10003656,4.4,7.5,,,,4.25,5.5,7.5,4.0,,5.75,,,17.25,15.9,
23,10003664,4.2,5.25,,,,4.25,6.5,8.75,3.4,,6.5,,,16.0,12.85,
24,10003671,5.0,7.5,,,,4.0,6.25,8.5,4.6,,6.25,,,17.75,17.1,
25,10003394,3.4,5.0,,,,3.25,6.0,6.75,3.8,,5.33,,,14.25,12.2,
26,10003425,2.8,3.0,,,,2.5,4.5,6.0,2.2,,4.33,,,10.0,8,
27,10003430,4.0,6.25,,,,3.25,7.0,7.75,2.2,,6.0,,,16.5,12.45,
28,10001962,4.2,3.5,,,,4.0,4.25,6.25,2.2,,4.83,,,11.75,9.9,
29,10001981,3.6,6.0,,,,3.75,4.5,5.0,2.0,,4.42,,,14.25,11.6,
30,10001984,3.0,5.25,,,,3.25,4.75,4.75,3.0,,4.25,,,13.25,11.25,
31,10002002,3.2,2.25,,,,2.75,3.5,3.75,2.8,,3.33,,,8.5,8.25,
32,10002127,4.6,4.75,,,,6.0,8.5,8.0,4.4,,7.5,,,19.25,13.75,
33,10002131,4.2,4.75,,,,3.25,4.25,6.25,3.2,,4.58,,,12.25,12.15,
34,10002133,2.6,2.0,,,,2.75,4.5,5.25,2.6,,4.17,,,9.25,7.2,
35,10002112,3.0,5.25,,,,4.0,5.25,5.75,1.8,,5.0,,,14.5,10.05,
36,10002116,3.0,3.25,,,,2.75,3.5,6.0,2.6,,4.08,,,9.5,8.85,
37,10002122,3.2,5.0,,,,3.5,4.25,5.75,2.8,,4.5,,,12.75,11,
38,10002124,3.0,3.0,,,,3.5,4.5,7.25,2.4,,5.08,,,11.0,8.4,
39,10002160,4.2,6.0,,,,4.25,6.0,7.0,3.0,,5.75,,,16.25,13.2,
40,10002137,5.2,6.75,,,,3.0,5.0,7.75,2.2,,5.25,,,14.75,14.15,
41,10002144,4.8,5.25,,,,3.0,7.25,8.25,3.6,,6.17,,,15.5,13.65,
42,10002147,2.6,4.5,,,,3.75,4.5,5.75,2.8,,4.67,,,12.75,9.9,
43,10002150,4.2,4.0,,,,2.75,5.0,6.0,4.2,,4.58,,,11.75,12.4,
44,10002153,2.4,5.5,,,,2.25,5.0,6.0,4.0,,4.42,,,12.75,11.9,
45,10006587,4.4,3.25,3.25,2.5,3.25,,,,2.6,3.0,,10.15,10.15,,10.25,10.25
46,10006633,8.0,8.25,7.0,5.25,7.0,,,,3.6,6.42,,20.25,20.25,,19.85,18.6
47,10006506,4.2,5.25,3.25,3.25,4.25,,,,3.2,3.58,,10.7,11.7,,12.65,10.65
48,10006580,6.0,8.25,4.75,4.5,5.0,,,,3.4,4.75,,15.25,15.5,,17.65,14.15
49,10006590,6.4,8.0,4.25,4.5,5.25,,,,2.0,4.67,,15.15,16.15,,16.4,12.65
50,10006106,4.4,2.0,,,,6.0,,,,,,,,,,
51,10006108,4.8,6.25,3.5,3.5,3.75,4.75,5.5,,,3.58,,11.8,12.05,16.5,,
52,10006121,4.0,4.0,,,,2.75,4.75,,,,,,,11.5,,
53,10006161,2.6,2.5,,,,3.0,2.25,,,,,,,7.75,,
54,10006184,4.8,4.5,,,,3.75,,,,,,,,,,
55,10006252,3.4,2.5,,,,2.0,4.25,,,,,,,8.75,,
56,10006271,2.4,2.75,,,,3.0,3.75,,,,,,,9.5,,
57,10006345,3.6,3.0,,,,2.75,5.0,,,,,,,10.75,,
58,10006433,6.0,,,4.25,4.5,,,,,,,,14.75,,,
59,10006439,2.0,4.5,,,,2.75,2.25,,,,,,,9.5,,
60,10006471,7.6,,7.5,7.75,,,,,,,,22.85,,,,
61,10006516,2.0,3.75,,,,3.5,6.0,,,,,,,13.25,,
62,10007028,3.0,6.5,,,,4.75,5.0,7.0,2.2,,5.58,,,16.25,11.7,
63,10007032,3.0,6.5,,,,2.75,6.0,7.5,2.0,,5.42,,,15.25,11.5,
64,10007042,5.4,6.5,,,,6.0,8.0,8.0,3.6,,7.33,,,20.5,15.5,
65,10008338,4.0,6.25,,,,2.0,1.75,2.5,3.6,,2.08,,,10.0,13.85,
66,10008341,3.2,3.0,,,,2.75,5.0,6.75,2.8,,4.83,,,10.75,9,
67,10008343,5.4,5.0,,,,4.5,5.75,7.0,2.4,,5.75,,,15.25,12.8,
68,10008345,3.8,6.5,,,,2.75,5.0,6.25,2.4,,4.67,,,14.25,12.7,
69,10008347,3.4,6.5,,,,2.75,3.5,7.75,2.4,,4.67,,,12.75,12.3,
70,10008349,5.0,7.5,,,,4.0,6.5,9.0,3.0,,6.5,,,18.0,15.5,
71,10008352,3.6,7.0,,,,3.5,5.25,6.75,1.8,,5.17,,,15.75,12.4,
72,10008366,4.2,7.75,,,,3.0,7.25,9.0,3.2,,6.42,,,18.0,15.15,
73,10008380,4.0,6.5,,,,2.5,5.0,7.5,3.8,,5.0,,,14.0,14.3,
