,SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
0,56003260,4.0,6.75,,,,5.75,7.5,7.5,3.2,,6.92,,,20.0,13.95,
1,56003261,7.0,6.0,5.75,6.25,5.0,,,,3.8,5.67,,19.0,18.25,,16.8,16.55
2,56003263,4.2,5.0,,,,3.5,6.25,8.0,2.6,,5.92,,,14.75,11.8,
3,56003264,6.2,5.25,6.5,2.75,4.5,,,,7.0,4.58,,15.45,13.45,,18.45,19.7
4,56003266,5.6,4.0,,,,5.5,6.25,9.0,3.6,,6.92,,,15.75,13.2,
5,56003267,4.6,5.0,,,,4.5,6.0,7.0,4.2,,5.83,,,15.5,13.8,
6,56003268,6.6,7.0,6.25,6.25,4.25,,,,4.4,5.58,,19.1,17.1,,18,17.25
7,56003270,3.8,6.5,,,,4.75,6.5,7.5,2.4,,6.25,,,17.75,12.7,
8,56003271,5.2,7.0,,,,7.5,8.0,8.75,4.6,,8.08,,,22.5,16.8,
9,56003272,4.0,4.25,,,,3.5,7.5,7.5,3.6,,6.17,,,15.25,11.85,
10,56003273,2.8,5.25,,,,4.75,6.0,7.75,2.8,,6.17,,,16.0,10.85,
11,56003274,5.8,5.0,4.75,4.0,5.75,,,,3.4,4.83,,14.55,15.55,,14.2,13.95
12,56003276,6.8,5.5,4.75,3.75,5.25,,,,5.0,4.58,,15.3,15.8,,17.3,16.55
13,56003277,3.6,5.5,,,,3.75,4.5,8.25,5.6,,5.5,,,13.75,14.7,
14,56003278,5.6,6.25,3.5,5.0,6.0,,,,3.8,4.83,,14.1,16.6,,15.65,12.9
15,56003305,4.6,4.5,,,,3.75,3.75,9.0,3.6,,5.5,,,12.0,12.7,
16,56003306,6.0,7.5,5.0,5.25,3.75,,,,6.6,4.67,,16.25,15.0,,20.1,17.6
17,56006150,3.4,4.5,,,,3.25,4.5,8.5,1.8,,5.42,,,12.25,9.7,
18,56006151,4.6,5.0,,,,4.0,6.0,8.75,4.0,,6.25,,,15.0,13.6,
