,SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
0,55003643,3.4,5.42,,,,2.25,4.0,8.5,3.6,,4.92,,,11.67,12.42,
1,55000635,4.2,8.25,,,,3.0,5.75,8.0,4.0,,5.58,,,17.0,16.45,
2,55000668,4.0,6.5,,,,4.5,6.75,8.0,1.8,,6.42,,,17.75,12.3,
3,55000680,4.4,4.75,,,,5.75,5.75,8.0,2.6,,6.5,,,16.25,11.75,
4,55000686,3.6,6.0,,,,2.75,4.5,7.25,3.2,,4.83,,,13.25,12.8,
5,55000682,5.0,3.75,,,,2.5,6.5,7.75,2.8,,5.58,,,12.75,11.55,
6,55000684,3.4,5.75,,,,4.25,6.0,7.75,3.6,,6.0,,,16.0,12.75,
7,55000695,3.0,8.0,,,,7.75,7.0,6.25,2.2,,7.0,,,22.75,13.2,
8,55000697,6.0,5.0,,,,3.0,5.25,8.25,3.2,,5.5,,,13.25,14.2,
9,55000701,3.6,4.25,,,,2.75,5.25,5.5,1.6,,4.5,,,12.25,9.45,
10,55000707,3.4,5.75,,,,3.0,5.5,8.5,3.0,,5.67,,,14.25,12.15,
11,55001469,5.6,6.25,6.0,3.5,4.0,,,,4.2,4.5,,15.1,13.1,,16.05,15.8
12,55001476,4.6,6.5,4.25,4.0,3.0,,,,4.2,3.75,,12.85,11.6,,15.3,13.05
13,55001489,3.0,7.0,,,,4.0,5.0,6.75,3.2,,5.25,,,16.0,13.2,
14,55001495,5.8,8.0,,,,6.25,6.75,8.75,5.2,,7.25,,,21.0,19,
15,55000893,2.4,4.0,,,,1.5,4.75,7.75,4.0,,4.67,,,10.25,10.4,
16,55000902,3.8,5.25,,,,5.0,5.5,7.75,2.0,,6.08,,,15.75,11.05,
17,55000915,5.6,6.5,5.25,5.25,5.5,,,,4.4,5.33,,16.1,16.35,,16.5,15.25
18,55001072,2.8,4.5,,,,4.25,5.75,8.5,1.8,,6.17,,,14.5,9.1,
19,55000848,3.0,4.0,,,,4.25,6.25,,,,,,,14.5,,
20,55000850,4.0,2.75,,,,4.5,5.5,,,,,,,12.75,,
21,55000852,2.2,2.75,,,,3.25,3.75,,,,,,,9.75,,
22,55000856,3.2,6.5,,,,2.5,6.25,,,,,,,15.25,,
23,55000845,2.0,4.5,,,,3.75,4.5,,,,,,,12.75,,
24,55000835,2.6,2.0,,,,2.5,3.25,,,,,,,7.75,,
25,55000858,5.0,8.5,,,,6.0,6.5,,,,,,,21.0,,
26,55000862,1.6,1.75,,,,3.0,5.25,,,,,,,10.0,,
27,55000864,3.4,2.5,,,,3.25,3.5,,,,,,,9.25,,
28,55000556,5.2,,5.75,5.0,,,,,4.0,,,15.95,,,,14.95
29,55000866,4.4,2.25,,,,3.25,1.75,,,,,,,7.25,,
30,55000867,2.2,0.5,,,,2.0,3.5,,,,,,,6.0,,
31,55001519,3.0,2.25,,,,3.5,3.0,,,,,,,8.75,,
32,55001525,2.4,4.5,,,,2.75,4.75,,,,,,,12.0,,
33,55001531,2.2,2.75,,,,2.0,4.5,,,,,,,9.25,,
34,55000565,6.4,4.5,3.75,6.25,4.75,,,,2.4,4.92,,16.4,17.4,,13.3,12.55
35,55000568,4.8,6.5,,,,4.75,6.25,9.0,3.4,,6.67,,,17.5,14.7,
36,55000609,5.0,6.0,,,,4.25,5.5,7.75,3.4,,5.83,,,15.75,14.4,
37,55001130,5.8,3.75,4.75,4.75,5.25,,,,5.4,4.92,,15.3,15.8,,14.95,15.95
38,55002670,6.2,7.0,5.5,3.75,4.5,,,,3.0,4.58,,15.45,14.45,,16.2,14.7
39,55002674,5.8,6.25,,,,5.0,7.75,9.0,3.2,,7.25,,,19.0,15.25,
40,55002678,6.6,8.0,4.0,4.75,5.25,,,,3.0,4.67,,15.35,16.6,,17.6,13.6
41,55002681,5.6,4.75,3.0,3.0,3.5,,,,3.2,3.17,,11.6,12.1,,13.55,11.8
42,55002683,4.6,3.5,,,,2.75,6.0,6.5,2.6,,5.08,,,12.25,10.7,
43,55002686,4.6,4.75,3.5,2.75,4.5,,,,2.6,3.58,,10.85,11.85,,11.95,10.7
44,55002689,5.6,4.75,3.5,5.5,5.75,,,,4.2,4.92,,14.6,16.85,,14.55,13.3
45,55002708,5.2,7.5,5.25,4.25,5.75,,,,5.6,5.08,,14.7,15.2,,18.3,16.05
46,55002713,5.6,8.0,,,,4.25,6.0,8.5,3.4,,6.25,,,18.25,17,
47,55002717,5.6,7.0,4.25,5.0,4.5,,,,3.8,4.58,,14.85,15.1,,16.4,13.65
48,55002723,4.0,6.5,,,,3.5,4.0,7.0,2.4,,4.83,,,14.0,12.9,
49,55007707,5.6,6.5,5.0,5.0,6.0,,,,4.6,5.33,,15.6,16.6,,16.7,15.2
50,55007716,4.4,3.5,5.5,3.5,6.0,,,,6.0,5.0,,13.4,13.9,,13.9,15.9
51,55007725,5.0,6.5,3.25,4.5,6.0,,,,2.6,4.58,,12.75,15.5,,14.1,10.85
52,55007732,6.0,6.25,2.75,6.0,6.0,,,,4.4,4.92,,14.75,18.0,,16.65,13.15
53,55007735,4.8,4.5,,,,2.75,3.25,5.75,2.0,,3.92,,,10.5,11.3,
54,55007738,5.0,6.25,,,,4.25,6.75,7.0,2.2,,6.0,,,17.25,13.45,
55,55007400,5.8,7.75,5.75,4.5,5.5,,,,5.0,5.25,,16.05,15.8,,18.55,16.55
56,55007406,5.6,6.0,2.5,2.75,4.0,,,,4.0,3.08,,10.85,12.35,,15.6,12.1
57,55007415,6.2,4.25,6.5,7.0,5.0,,,,6.6,6.17,,19.7,18.2,,17.05,19.3
58,55007420,4.8,5.0,5.0,3.75,4.0,,,,7.0,4.25,,13.55,12.55,,16.8,16.8
59,55007424,6.0,4.75,6.25,6.5,6.0,,,,6.2,6.25,,18.75,18.5,,16.95,18.45
60,55007440,8.8,5.0,8.25,5.75,5.0,,,,9.0,6.33,,22.8,19.55,,22.8,26.05
61,55007445,3.0,8.0,,,,6.0,6.25,8.25,4.0,,6.83,,,20.25,15,
62,55007450,5.8,8.25,5.75,3.25,4.0,,,,6.4,4.33,,14.8,13.05,,20.45,17.95
63,55007456,5.0,6.25,5.5,4.75,5.5,,,,5.6,5.25,,15.25,15.25,,16.85,16.1
64,55007462,8.4,8.75,5.75,5.5,5.25,,,,8.6,5.5,,19.65,19.15,,25.75,22.75
65,55007468,7.0,5.75,6.25,6.5,4.0,,,,4.8,5.58,,19.75,17.5,,17.55,18.05
66,55007475,5.8,8.5,4.0,2.75,2.75,,,,5.6,3.17,,12.55,11.3,,19.9,15.4
67,55007480,3.2,7.0,3.75,3.25,4.75,,,,3.2,3.92,,10.2,11.2,,13.4,10.15
68,55007483,6.8,5.5,4.75,6.5,7.5,,,,8.0,6.25,,18.05,20.8,,20.3,19.55
69,55007486,6.8,6.25,6.0,5.0,4.0,,,,6.2,5.0,,17.8,15.8,,19.25,19.0
70,55007488,8.0,5.25,5.5,5.75,3.75,,,,6.0,5.0,,19.25,17.5,,19.25,19.5
71,55007372,6.8,5.25,6.5,7.75,6.75,,,,4.0,7.0,,21.05,21.3,,16.05,17.3
72,55006277,5.6,7.0,,,,3.25,5.75,9.0,3.4,,6.0,,,16.0,16,
73,55006279,4.2,4.0,,,,3.25,4.25,7.75,3.8,,5.08,,,11.5,12,
74,55006282,4.8,3.25,,,,3.75,5.5,8.0,3.2,,5.75,,,12.5,11.25,
75,55006288,3.6,5.0,,,,2.25,4.5,6.5,3.0,,4.42,,,11.75,11.6,
76,55006292,2.4,5.25,,,,3.5,5.25,7.0,3.2,,5.25,,,14.0,10.85,
77,55006294,3.8,6.25,,,,3.25,5.0,7.5,2.6,,5.25,,,14.5,12.65,
78,55006296,3.2,3.75,,,,2.75,4.5,6.25,2.4,,4.5,,,11.0,9.35,
79,55006304,2.4,2.75,,,,4.5,7.0,7.25,3.6,,6.25,,,14.25,8.75,
80,55006309,4.2,8.0,,,,5.5,5.0,7.75,5.4,,6.08,,,18.5,17.6,
81,55006313,4.4,4.25,,,,4.25,5.75,7.5,3.4,,5.83,,,14.25,12.05,
82,55006316,2.8,5.75,,,,4.5,5.0,7.0,2.4,,5.5,,,15.25,10.95,
83,55006326,3.2,5.25,,,,3.75,4.25,7.0,2.6,,5.0,,,13.25,11.05,
84,55006333,3.2,5.0,,,,3.25,4.75,7.0,3.0,,5.0,,,13.0,11.2,
85,55006338,4.2,3.0,,,,5.5,5.0,7.0,2.6,,5.83,,,13.5,9.8,
86,55006343,5.2,5.0,,,,2.25,5.25,6.25,3.2,,4.58,,,12.5,13.4,
87,55007060,6.6,8.25,,,,3.0,6.5,8.0,4.6,,5.83,,,17.75,19.45,
88,55007065,6.2,6.0,2.0,3.75,4.25,,,,4.0,3.33,,11.95,14.2,,16.2,12.2
89,55005543,6.6,5.75,2.75,7.5,7.5,,,,3.6,5.92,,16.85,21.6,,15.95,12.95
90,55005562,6.6,7.0,5.5,6.5,7.0,,,,4.0,6.33,,18.6,20.1,,17.6,16.1
91,55006307,6.0,8.25,,,,4.25,6.5,8.5,6.4,,6.42,,,19.0,20.65,
92,55006312,3.4,4.5,,,,3.75,5.25,7.75,4.6,,5.58,,,13.5,12.5,
93,55006315,3.2,4.5,,,,4.25,5.0,6.5,2.2,,5.25,,,13.75,9.9,
94,55006323,5.8,5.0,,,,3.0,5.75,7.75,2.6,,5.5,,,13.75,13.4,
95,55006344,4.6,5.0,,,,4.25,5.5,7.0,4.2,,5.58,,,14.75,13.8,
96,55006350,4.6,7.0,,,,5.0,6.5,9.25,2.8,,6.92,,,18.5,14.4,
97,55006352,4.6,4.5,,,,2.75,3.75,5.75,3.4,,4.08,,,11.0,12.5,
98,55006353,5.6,6.5,,,,3.75,4.75,8.0,3.8,,5.5,,,15.0,15.9,
99,55006376,4.8,6.0,,,,2.25,4.5,8.5,2.8,,5.08,,,12.75,13.6,
100,55006381,5.0,5.5,,,,3.25,5.5,7.0,3.0,,5.25,,,14.25,13.5,
101,55006346,4.8,5.0,,,,3.0,5.25,7.25,3.8,,5.17,,,13.25,13.6,
102,55006358,4.8,5.5,,,,3.5,6.25,7.25,3.6,,5.67,,,15.25,13.9,
103,55006369,4.0,5.0,,,,4.75,5.75,7.0,4.6,,5.83,,,15.5,13.6,
104,55006345,3.8,6.25,,,,4.0,6.25,8.0,3.8,,6.08,,,16.5,13.85,
105,55006356,5.6,3.25,,,,5.0,4.75,7.75,3.6,,5.83,,,13.0,12.45,
106,55005008,3.4,5.0,,,,3.25,5.75,6.0,2.4,,5.0,,,14.0,10.8,
