,SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
0,6000255,2.4,4.0,,,,2.5,4.25,6.25,3.0,,4.33,,,10.75,9.4,
1,6000262,2.6,6.5,,,,4.5,6.5,6.5,1.8,,5.83,,,17.5,10.9,
2,6000266,3.4,6.5,,,,5.0,6.5,9.5,3.4,,7.0,,,18.0,13.3,
3,6000279,2.0,3.5,,,,2.75,4.75,6.25,2.4,,4.58,,,11.0,7.9,
4,6000281,3.0,7.0,,,,2.0,5.75,7.25,2.4,,5.0,,,14.75,12.4,
5,6000289,4.2,7.25,,,,3.25,5.5,6.25,2.4,,5.0,,,16.0,13.85,
6,6000297,3.6,5.0,,,,2.75,3.0,5.5,2.2,,3.75,,,10.75,10.8,
7,6000319,2.6,2.5,,,,2.75,5.0,5.0,2.8,,4.25,,,10.25,7.9,
8,6000590,2.8,4.0,,,,3.0,6.0,6.5,2.4,,5.17,,,13.0,9.2,
9,6000602,3.2,6.25,,,,4.0,5.75,7.5,2.2,,5.75,,,16.0,11.65,
10,6000603,2.6,5.0,,,,3.5,5.0,4.0,2.2,,4.17,,,13.5,9.8,
11,6000610,4.6,5.75,,,,5.75,8.25,7.0,3.2,,7.0,,,19.75,13.55,
12,6000625,3.4,6.25,,,,3.5,6.75,7.25,2.6,,5.83,,,16.5,12.25,
13,6000611,3.2,4.5,,,,2.25,4.75,5.75,2.8,,4.25,,,11.5,10.5,
14,6000615,5.0,7.0,,,,5.0,6.25,8.5,3.2,,6.58,,,18.25,15.2,
15,6000623,2.8,4.0,,,,4.75,5.0,6.0,3.6,,5.25,,,13.75,10.4,
16,6000464,5.2,6.5,4.75,5.5,5.75,,,,3.4,5.33,,15.45,16.45,,15.1,13.35
17,6001027,3.6,6.5,,,,5.0,7.0,6.5,3.0,,6.17,,,18.5,13.1,
