,SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
0,27002868,6.0,6.25,,,,3.5,6.25,8.0,4.8,,5.92,,,16.0,17.05,
1,27002482,8.8,7.5,8.25,8.5,5.25,,,,5.0,7.33,,25.55,22.55,,21.3,22.05
2,27002491,5.8,3.25,5.0,3.25,4.5,,,,1.8,4.25,,14.05,13.55,,10.85,12.6
3,27002504,2.6,3.0,,,,4.0,4.5,3.0,2.6,,3.83,,,11.5,8.2,
4,27002510,5.0,3.25,,,,4.25,6.0,8.25,4.8,,6.17,,,13.5,13.05,
5,27002522,4.0,3.5,,,,4.75,7.5,8.0,4.2,,6.75,,,15.75,11.7,
6,27002528,7.8,4.5,7.25,6.75,7.0,,,,3.8,7.0,,21.8,21.55,,16.1,18.85
7,27002533,2.2,7.5,,,,4.25,6.75,8.75,1.8,,6.58,,,18.5,11.5,
8,27002548,7.0,5.75,4.75,5.0,3.25,,,,5.6,4.33,,16.75,15.25,,18.35,17.35
9,27002551,4.8,6.75,,,,3.5,7.0,7.75,4.4,,6.08,,,17.25,15.95,
10,27002554,7.6,8.25,6.75,6.75,5.75,,,,3.2,6.42,,21.1,20.1,,19.05,17.55
11,27001096,3.8,4.25,,,,5.0,6.25,8.0,2.8,,6.42,,,15.5,10.85,
12,27001103,7.0,7.25,6.75,3.0,3.75,,,,4.6,4.5,,16.75,13.75,,18.85,18.35
13,27001108,6.4,6.5,6.0,5.75,6.25,,,,3.6,6.0,,18.15,18.4,,16.5,16.0
14,27001112,4.8,7.25,,,,6.0,7.75,7.25,6.2,,7.0,,,21.0,18.25,
15,27001125,4.8,6.0,5.0,2.75,5.0,,,,3.2,4.25,,12.55,12.55,,14,13.0
16,27001131,4.8,6.5,,,,3.25,6.25,7.75,2.2,,5.75,,,16.0,13.5,
17,27001190,3.6,5.5,,,,4.25,6.25,7.75,5.6,,6.08,,,16.0,14.7,
18,27001177,4.2,6.5,,,,2.0,4.75,4.75,2.6,,3.83,,,13.25,13.3,
19,27001180,5.0,7.0,,,,4.25,7.25,8.0,2.4,,6.5,,,18.5,14.4,
20,27001184,3.4,5.25,,,,3.5,6.0,5.75,3.6,,5.08,,,14.75,12.25,
21,27001165,3.4,4.5,,,,3.75,5.0,5.0,3.2,,4.58,,,13.25,11.1,
22,27001201,3.8,5.0,,,,1.75,4.25,7.0,2.4,,4.33,,,11.0,11.2,
23,27001205,5.8,7.75,,,,6.0,6.75,8.5,4.2,,7.08,,,20.5,17.75,
24,27001207,4.0,5.75,,,,3.5,5.5,5.25,3.0,,4.75,,,14.75,12.75,
25,27001212,5.0,8.5,,,,7.75,7.0,8.0,4.2,,7.58,,,23.25,17.7,
26,27001218,4.2,6.25,,,,5.75,7.0,7.5,2.8,,6.75,,,19.0,13.25,
27,27001226,4.2,7.0,,,,2.75,4.75,7.75,2.8,,5.08,,,14.5,14,
28,27002171,5.4,5.5,,,,3.75,3.75,7.25,4.6,,4.92,,,13.0,15.5,
29,27002179,4.0,6.0,,,,3.75,5.25,7.0,2.8,,5.33,,,15.0,12.8,
30,27002176,6.0,8.0,,,,4.75,5.75,8.25,6.6,,6.25,,,18.5,20.6,
31,27002183,5.4,7.25,,,,5.0,4.5,8.5,4.0,,6.0,,,16.75,16.65,
32,27002149,3.8,6.5,,,,4.75,5.75,9.0,3.2,,6.5,,,17.0,13.5,
33,27001824,3.4,5.5,3.25,3.75,4.5,,,,2.2,3.83,,10.4,11.65,,11.1,8.85
34,27001573,7.0,7.0,3.75,7.5,5.5,,,,4.8,5.58,,18.25,20.0,,18.8,15.55
35,27001583,6.4,6.0,4.75,7.0,3.75,,,,3.0,5.17,,18.15,17.15,,15.4,14.15
36,27001589,4.0,5.5,,,,3.0,4.25,5.25,2.6,,4.17,,,12.75,12.1,
37,27001595,6.0,7.25,,,,3.5,4.75,7.0,2.2,,5.08,,,15.5,15.45,
38,27001601,3.8,4.0,,,,3.75,4.25,6.5,2.8,,4.83,,,12.0,10.6,
39,27001607,5.2,6.75,,,,5.5,8.25,8.0,4.2,,7.25,,,20.5,16.15,
40,27001610,3.4,6.75,,,,2.5,5.0,6.5,3.4,,4.67,,,14.25,13.55,
41,27001614,5.8,6.0,5.0,6.0,3.5,,,,4.2,4.83,,16.8,15.3,,16,15.0
42,27001423,5.4,6.75,,,,4.0,6.5,7.25,3.8,,5.92,,,17.25,15.95,
