,SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
0,57000950,6.6,6.5,5.75,4.25,3.25,,,,5.6,4.42,,16.6,14.1,,18.7,17.95
1,57000964,5.4,6.0,6.75,4.5,3.25,,,,4.8,4.83,,16.65,13.15,,16.2,16.95
2,57000966,7.4,6.25,7.0,8.0,6.0,,,,4.0,7.0,,22.4,21.4,,17.65,18.4
3,57000971,6.8,6.5,6.0,6.75,6.5,,,,4.2,6.42,,19.55,20.05,,17.5,17.0
4,57000974,7.2,5.75,4.25,5.5,7.75,,,,3.2,5.83,,16.95,20.45,,16.15,14.65
5,57000988,5.2,6.0,3.25,4.0,4.5,,,,2.6,3.92,,12.45,13.7,,13.8,11.05
6,57000990,6.0,3.25,5.0,4.25,3.75,,,,4.8,4.33,,15.25,14.0,,14.05,15.8
7,57001002,6.2,6.0,3.0,4.5,4.25,,,,5.6,3.92,,13.7,14.95,,17.8,14.8
8,57001013,5.6,4.75,5.75,5.75,4.25,,,,6.0,5.25,,17.1,15.6,,16.35,17.35
9,57001042,2.4,,3.5,2.5,,,,,,,,8.4,,,,
10,57001050,4.0,6.25,,,,3.25,,,,,,,,,,
11,57001073,3.6,,3.75,2.25,3.0,,,,3.6,3.0,,9.6,8.85,,,10.95
12,57001078,4.2,7.5,,,,6.75,,,,,,,,,,
13,57001097,5.2,5.0,,,,4.75,,,,,,,,,,
14,57001151,4.8,5.5,,,,6.5,,,,,,,,,,
15,57001174,6.6,7.0,,,,6.5,,,,,,,,,,
16,57001291,2.4,3.25,,,,,,,,,,,,,,
17,57001372,6.4,,6.75,6.25,,,,,,,,19.4,,,,
18,57001426,5.6,6.0,,,,6.0,,,,,,,,,,
19,57001511,5.2,,6.0,,,,,,5.0,,,,,,,16.2
20,57001622,6.2,6.5,,,,,,,8.4,,,,,,21.1,
21,57001656,6.4,5.75,,,,5.75,,,,,,,,,,
22,57001431,5.4,,5.75,,,,,,4.0,,,,,,,15.15
23,57001115,5.8,,4.75,,,,,,5.0,,,,,,,15.55
24,57001081,3.6,5.75,,,,3.5,,,,,,,,,,
25,57001129,3.0,5.25,,,,2.75,,,,,,,,,,
26,57001147,5.0,7.25,,,,5.5,,,,,,,,,,
27,57001205,2.6,4.5,,,,3.0,,,,,,,,,,
28,57002178,7.0,7.0,7.75,6.75,5.0,,,,5.6,6.5,,21.5,18.75,,19.6,20.35
29,57002184,5.8,4.5,5.5,6.0,3.75,,,,7.0,5.08,,17.3,15.55,,17.3,18.3
30,57002192,5.4,6.5,,,,7.5,9.0,9.25,6.0,,8.58,,,23.0,17.9,
31,57002194,5.6,7.5,,,,3.75,6.0,7.75,7.0,,5.83,,,17.25,20.1,
32,57002196,5.4,7.25,,,,5.5,7.0,8.5,6.8,,7.0,,,19.75,19.45,
33,57002200,7.0,5.0,5.75,5.5,5.25,,,,6.8,5.5,,18.25,17.75,,18.8,19.55
34,57002206,6.4,4.25,4.5,3.0,4.25,,,,2.6,3.92,,13.9,13.65,,13.25,13.5
35,57002211,3.8,4.25,,,,3.5,5.5,5.5,3.2,,4.83,,,13.25,11.25,
36,57002216,2.8,3.75,,,,3.5,4.5,7.75,3.2,,5.25,,,11.75,9.75,
37,57002222,4.0,7.5,,,,4.25,5.0,8.5,3.6,,5.92,,,16.75,15.1,
38,57002228,6.2,6.25,7.25,6.0,5.0,,,,4.8,6.08,,19.45,17.2,,17.25,18.25
39,57002229,4.4,6.0,,,,3.5,5.75,9.5,3.8,,6.25,,,15.25,14.2,
40,57002231,4.2,5.0,,,,3.25,5.25,8.0,3.8,,5.5,,,13.5,13,
41,57002239,4.2,6.25,,,,3.75,6.0,8.0,3.2,,5.92,,,16.0,13.65,
42,57001679,6.0,7.25,,,,7.0,7.5,9.0,4.4,,7.83,,,21.75,17.65,
43,57001686,2.4,3.0,,,,2.75,4.25,5.0,2.8,,4.0,,,10.0,8.2,
44,57001693,5.8,7.5,,,,3.75,5.0,9.75,8.2,,6.17,,,16.25,21.5,
45,57001673,6.4,7.0,,,,2.0,4.5,8.0,7.6,,4.83,,,13.5,21,
46,57001676,5.8,6.25,,,,3.75,8.0,9.25,6.0,,7.0,,,18.0,18.05,
47,57001688,5.0,6.25,,,,3.5,6.0,6.5,2.8,,5.33,,,15.75,14.05,
48,57001708,5.2,4.5,,,,4.75,6.25,8.5,1.8,,6.5,,,15.5,11.5,
49,57001681,3.8,5.25,,,,2.5,4.75,7.75,3.0,,5.0,,,12.5,12.05,
50,57010409,5.2,4.75,3.5,5.5,5.0,,,,3.2,4.67,,14.2,15.7,,13.15,11.9
51,57010413,4.2,4.83,,,,3.75,5.0,8.0,2.6,,5.58,,,13.58,11.63,
52,57010414,6.0,5.75,,,,5.25,7.75,9.25,4.0,,7.42,,,18.75,15.75,
53,57010427,3.4,5.25,,,,4.0,4.25,7.0,3.6,,5.08,,,13.5,12.25,
54,57010430,4.8,5.5,3.75,3.25,4.75,,,,3.0,3.92,,11.8,12.8,,13.3,11.55
55,57010433,4.6,4.25,,,,3.0,4.25,7.5,3.2,,4.92,,,11.5,12.05,
56,57010436,4.0,4.75,,,,4.5,3.75,6.25,3.0,,4.83,,,13.0,11.75,
57,57010442,6.0,6.75,6.0,4.5,5.25,,,,4.2,5.25,,16.5,15.75,,16.95,16.2
58,57010443,6.0,6.5,5.25,5.0,5.75,,,,3.6,5.33,,16.25,16.75,,16.1,14.85
59,57010444,4.2,5.25,4.0,3.5,3.25,,,,3.8,3.58,,11.7,10.95,,13.25,12.0
60,57010446,4.6,5.5,,,,2.0,5.25,6.5,2.0,,4.58,,,12.75,12.1,
61,57010462,6.0,7.25,4.25,3.75,5.5,,,,4.6,4.5,,14.0,15.25,,17.85,14.85
62,57010465,4.8,7.0,,,,4.75,7.25,8.5,3.6,,6.83,,,19.0,15.4,
63,57010476,5.8,7.0,3.0,6.5,5.25,,,,8.0,4.92,,15.3,17.55,,20.8,16.8
64,57010478,5.4,6.75,5.5,5.25,6.25,,,,4.2,5.67,,16.15,16.9,,16.35,15.1
65,57010481,4.2,5.25,4.5,4.0,4.25,,,,4.4,4.25,,12.7,12.45,,13.85,13.1
66,57010497,5.6,6.75,,,,3.25,6.5,7.0,3.4,,5.58,,,16.5,15.75,
67,57010504,4.8,4.5,,,,3.75,4.75,6.0,3.0,,4.83,,,13.0,12.3,
68,57010507,5.4,4.75,6.0,5.0,4.5,,,,3.2,5.17,,16.4,14.9,,13.35,14.6
69,57010509,7.0,5.5,6.0,4.25,4.75,,,,4.6,5.0,,17.25,16.0,,17.1,17.6
70,57010513,6.0,7.0,5.5,5.25,5.75,,,,3.4,5.5,,16.75,17.0,,16.4,14.9
71,57010523,6.8,6.25,5.75,6.5,8.25,,,,3.6,6.83,,19.05,21.55,,16.65,16.15
72,57000993,4.2,5.0,3.5,3.25,3.75,,,,3.2,3.5,,10.95,11.2,,12.4,10.9
73,57000999,7.2,5.5,5.0,4.25,6.5,,,,4.4,5.25,,16.45,17.95,,17.1,16.6
74,57001012,5.6,6.25,,,,4.75,7.25,9.5,3.8,,7.17,,,18.25,15.65,
75,57001016,5.6,6.5,4.0,5.25,5.25,,,,3.4,4.83,,14.85,16.1,,15.5,13.0
76,57001020,4.8,4.5,,,,3.0,5.25,7.75,2.4,,5.33,,,12.75,11.7,
77,57001022,5.6,7.5,,,,8.0,7.5,8.0,3.4,,7.83,,,23.0,16.5,
78,57001025,6.0,5.75,4.25,5.75,4.75,,,,3.0,4.92,,16.0,16.5,,14.75,13.25
79,57001029,3.8,3.75,,,,3.0,4.25,6.0,2.4,,4.42,,,11.0,9.95,
80,57001032,3.4,4.0,3.5,3.75,4.25,,,,4.4,3.83,,10.65,11.4,,11.8,11.3
81,57001034,5.6,3.25,4.5,4.25,3.75,,,,4.0,4.17,,14.35,13.6,,12.85,14.1
82,57001039,5.6,7.5,3.5,4.5,3.5,,,,5.0,3.83,,13.6,13.6,,18.1,14.1
83,57001043,4.8,6.5,,,,4.0,6.0,8.0,3.4,,6.0,,,16.5,14.7,
84,57001048,6.2,7.0,6.5,5.75,5.0,,,,7.2,5.75,,18.45,16.95,,20.4,19.9
85,57001055,6.2,7.25,4.75,3.75,2.5,,,,5.0,3.67,,14.7,12.45,,18.45,15.95
86,57001061,5.6,6.0,5.5,4.25,4.0,,,,5.4,4.58,,15.35,13.85,,17,16.5
87,57001068,4.8,7.0,,,,6.0,3.75,6.5,7.0,,5.42,,,16.75,18.8,
88,57001079,4.8,5.5,,,,4.0,5.25,7.5,7.0,,5.58,,,14.75,17.3,
89,57001113,6.8,8.0,6.0,6.25,4.5,,,,4.4,5.58,,19.05,17.55,,19.2,17.2
90,57001712,5.4,5.25,,,,4.0,5.25,7.5,3.0,,5.58,,,14.5,13.65,
91,57001720,5.0,7.0,,,,3.0,6.25,9.0,3.8,,6.08,,,16.25,15.8,
92,57001741,6.8,7.33,,,,6.0,6.25,7.25,4.8,,6.5,,,19.58,18.93,
93,57001743,4.6,5.0,,,,2.75,4.5,8.25,2.2,,5.17,,,12.25,11.8,
94,57001755,4.0,5.0,,,,2.5,4.0,7.75,3.0,,4.75,,,11.5,12,
95,57001717,3.0,6.5,,,,4.25,4.75,7.75,3.2,,5.58,,,15.5,12.7,
96,57001730,3.2,4.0,,,,4.5,5.25,6.5,2.0,,5.42,,,13.75,9.2,
97,57001731,3.4,4.0,,,,4.25,6.0,7.5,3.4,,5.92,,,14.25,10.8,
98,57001745,3.4,4.5,,,,3.25,4.5,7.25,2.0,,5.0,,,12.25,9.9,
99,57001769,3.4,3.25,,,,2.75,6.0,7.5,2.8,,5.42,,,12.0,9.45,
100,57001777,6.6,5.75,,,,4.75,7.0,8.0,7.6,,6.58,,,17.5,19.95,
101,57001781,3.6,7.25,,,,4.0,4.5,7.5,4.0,,5.33,,,15.75,14.85,
102,57001792,3.6,3.75,,,,2.0,5.0,4.25,3.6,,3.75,,,10.75,10.95,
103,57001757,4.6,8.5,,,,6.25,7.5,8.75,2.8,,7.5,,,22.25,15.9,
104,57001759,2.2,5.25,,,,3.75,5.0,7.0,3.0,,5.25,,,14.0,10.45,
105,57001762,3.0,3.0,,,,2.0,5.25,6.0,2.4,,4.42,,,10.25,8.4,
106,57010529,6.6,6.25,7.0,5.5,4.5,,,,4.6,5.67,,19.1,16.6,,17.45,18.2
107,57001238,5.2,5.75,4.5,3.75,5.5,,,,4.6,4.58,,13.45,14.45,,15.55,14.3
108,57001241,6.2,7.5,4.25,3.0,3.0,,,,4.8,3.42,,13.45,12.2,,18.5,15.25
109,57001243,6.0,6.75,,,,3.75,5.75,7.25,4.2,,5.58,,,16.25,16.95,
110,57001247,3.0,5.0,,,,3.0,5.0,6.0,2.6,,4.67,,,13.0,10.6,
111,57001256,4.4,6.5,,,,5.25,5.75,9.25,2.6,,6.75,,,17.5,13.5,
112,57001263,3.8,4.25,,,,2.25,4.75,5.0,2.8,,4.0,,,11.25,10.85,
113,57001271,6.0,6.75,4.5,3.0,4.75,,,,3.4,4.08,,13.5,13.75,,16.15,13.9
114,57001036,5.8,6.75,5.0,4.0,4.75,,,,5.8,4.58,,14.8,14.55,,18.35,16.6
115,57001051,6.6,5.75,3.0,4.5,8.0,,,,3.4,5.17,,14.1,19.1,,15.75,13.0
116,57001057,4.8,4.75,4.0,4.0,3.5,,,,2.6,3.83,,12.8,12.3,,12.15,11.4
117,57001072,4.2,4.75,4.0,5.75,3.75,,,,5.0,4.5,,13.95,13.7,,13.95,13.2
118,57001077,5.6,5.5,5.0,3.75,4.75,,,,6.8,4.5,,14.35,14.1,,17.9,17.4
119,57001082,5.0,5.0,2.75,4.25,4.5,,,,3.4,3.83,,12.0,13.75,,13.4,11.15
120,57001104,6.2,6.25,3.25,3.5,5.25,,,,4.6,4.0,,12.95,14.95,,17.05,14.05
121,57001106,5.0,5.75,3.25,3.5,3.75,,,,5.2,3.5,,11.75,12.25,,15.95,13.45
122,57001070,7.4,5.25,6.75,7.0,7.25,,,,6.8,7.0,,21.15,21.65,,19.45,20.95
123,57001074,6.4,6.0,5.5,5.0,6.5,,,,2.8,5.67,,16.9,17.9,,15.2,14.7
124,57001119,4.8,5.0,2.75,4.25,4.0,,,,2.8,3.67,,11.8,13.05,,12.6,10.35
125,57001125,6.0,5.0,7.75,4.0,4.25,,,,6.4,5.33,,17.75,14.25,,17.4,20.15
126,57001132,6.6,6.25,4.5,3.75,4.75,,,,3.4,4.33,,14.85,15.1,,16.25,14.5
127,57001021,6.0,6.25,6.0,6.0,6.0,,,,3.2,6.0,,18.0,18.0,,15.45,15.2
128,57001023,4.2,5.5,4.0,4.25,5.25,,,,4.0,4.5,,12.45,13.7,,13.7,12.2
129,57001028,5.0,5.5,4.25,5.75,4.25,,,,3.0,4.75,,15.0,15.0,,13.5,12.25
130,57001000,5.2,5.5,4.0,4.75,6.0,,,,3.6,4.92,,13.95,15.95,,14.3,12.8
131,57001001,6.4,6.25,5.75,2.75,2.75,,,,4.8,3.75,,14.9,11.9,,17.45,16.95
132,57001005,5.2,6.5,5.5,4.0,4.0,,,,4.8,4.5,,14.7,13.2,,16.5,15.5
133,57001010,5.8,6.5,5.75,5.75,4.25,,,,4.0,5.25,,17.3,15.8,,16.3,15.55
134,57001015,5.8,5.75,5.25,3.5,2.0,,,,5.0,3.58,,14.55,11.3,,16.55,16.05
135,57001019,7.0,6.5,7.0,5.5,7.0,,,,6.6,6.5,,19.5,19.5,,20.1,20.6
136,57001033,5.2,6.25,5.5,6.0,5.25,,,,5.0,5.58,,16.7,16.45,,16.45,15.7
137,57001037,4.2,4.25,5.0,4.25,5.5,,,,4.8,4.92,,13.45,13.95,,13.25,14.0
138,57001054,5.4,5.25,5.75,2.25,3.75,,,,6.4,3.92,,13.4,11.4,,17.05,17.55
139,57001062,6.8,6.25,7.5,5.5,4.5,,,,8.0,5.83,,19.8,16.8,,21.05,22.3
140,57001045,6.0,6.5,4.25,5.5,5.5,,,,4.6,5.08,,15.75,17.0,,17.1,14.85
141,57010541,4.0,5.0,,,,4.0,6.25,6.5,3.2,,5.58,,,15.25,12.2,
142,57010545,5.6,6.5,,,,4.5,5.0,7.5,4.0,,5.67,,,16.0,16.1,
143,57010548,5.4,6.25,,,,4.5,6.25,7.5,2.8,,6.08,,,17.0,14.45,
144,57010552,4.4,6.5,5.0,3.25,4.0,,,,3.6,4.08,,12.65,11.65,,14.5,13.0
145,57010554,4.2,4.0,,,,2.75,4.0,5.75,2.0,,4.17,,,10.75,10.2,
146,57010555,6.6,6.5,4.0,3.75,5.5,,,,3.2,4.42,,14.35,15.85,,16.3,13.8
147,57010556,5.4,6.0,3.0,3.5,4.75,,,,4.2,3.75,,11.9,13.65,,15.6,12.6
148,57010560,7.2,5.75,6.25,6.75,6.5,,,,4.6,6.5,,20.2,20.45,,17.55,18.05
149,57010563,5.4,6.0,6.25,6.75,6.0,,,,4.4,6.33,,18.4,18.15,,15.8,16.05
150,57010566,6.2,6.25,7.5,4.75,6.0,,,,5.4,6.08,,18.45,16.95,,17.85,19.1
151,57010579,5.6,5.25,5.75,4.0,3.25,,,,4.8,4.33,,15.35,12.85,,15.65,16.15
152,57010585,3.4,4.25,,,,2.25,4.25,6.25,2.0,,4.25,,,10.75,9.65,
153,57010590,7.4,8.25,5.0,7.0,7.5,,,,5.8,6.5,,19.4,21.9,,21.45,18.2
154,57010594,4.6,5.75,,,,3.75,5.0,7.75,5.0,,5.5,,,14.5,15.35,
155,57010600,6.0,7.0,6.25,6.75,6.0,,,,5.2,6.33,,19.0,18.75,,18.2,17.45
156,57010286,4.8,5.25,,,,4.5,6.75,8.5,4.0,,6.58,,,16.5,14.05,
157,57010292,3.4,3.0,,,,1.75,5.25,6.75,2.2,,4.58,,,10.0,8.6,
158,57000963,4.8,5.75,,,,4.0,5.0,8.0,3.0,,5.67,,,14.75,13.55,
159,57000969,6.4,7.25,,,,6.25,7.0,9.25,6.2,,7.5,,,20.5,19.85,
160,57000976,5.0,5.0,4.25,4.25,3.5,,,,3.4,4.0,,13.5,12.75,,13.4,12.65
161,57000983,3.8,6.25,,,,2.75,6.25,7.5,2.6,,5.5,,,15.25,12.65,
162,57000951,5.4,6.5,3.5,5.5,4.25,,,,4.2,4.42,,14.4,15.15,,16.1,13.1
163,57001507,6.6,5.5,5.75,5.5,4.25,,,,4.4,5.17,,17.85,16.35,,16.5,16.75
164,57001513,4.2,6.5,5.25,5.0,3.0,,,,5.2,4.42,,14.45,12.2,,15.9,14.65
165,57010298,5.8,6.75,5.5,5.75,4.0,,,,3.4,5.08,,17.05,15.55,,15.95,14.7
