,SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
0,47006232,3.6,5.5,,,,2.25,2.5,5.75,3.0,,3.5,,,10.25,12.1,
1,47006622,3.4,5.75,2.25,3.75,4.25,,,,5.4,3.42,,9.4,11.4,,14.55,11.05
2,47006565,2.6,6.0,,,,4.5,7.75,6.75,2.2,,6.33,,,18.25,10.8,
3,47006781,,5.5,,,,4.25,4.75,,,,,,,14.5,,
4,47006230,3.6,5.5,,,,5.25,,,,,,,,,,
5,47006310,3.8,5.5,,,,5.5,,,,,,,,,,
6,47006411,3.6,8.0,,,,4.5,,,,,,,,,,
7,47006758,5.8,5.5,,,,6.0,,,,,,,,,,
8,47006764,4.2,5.25,,,,5.0,,,,,,,,,,
9,47006256,5.6,,6.5,6.5,,,,,,,,18.6,,,,
10,47006408,1.6,,1.0,3.25,,,,,,,,5.85,,,,
11,47006852,6.4,7.25,6.0,6.75,4.75,,,,4.8,5.83,,19.15,17.9,,18.45,17.2
12,47006854,6.0,6.75,6.5,4.5,5.25,,,,5.8,5.42,,17.0,15.75,,18.55,18.3
13,47006863,6.0,7.0,,,,2.75,5.5,6.25,6.8,,4.83,,,15.25,19.8,
14,47006866,4.6,8.25,,,,6.25,5.75,7.0,4.8,,6.33,,,20.25,17.65,
15,47006868,4.4,6.0,4.75,4.5,6.75,,,,3.6,5.33,,13.65,15.65,,14,12.75
16,47006878,3.6,6.75,,,,5.0,7.25,7.0,3.4,,6.42,,,19.0,13.75,
17,47006885,7.0,4.25,7.25,8.25,3.5,,,,5.4,6.33,,22.5,18.75,,16.65,19.65
18,47006887,6.2,6.75,4.25,7.0,6.0,,,,7.2,5.75,,17.45,19.2,,20.15,17.65
19,47006356,6.8,6.75,,,,4.0,7.0,8.75,3.6,,6.58,,,17.75,17.15,
20,47006364,3.8,6.25,,,,3.75,4.75,6.75,2.2,,5.08,,,14.75,12.25,
21,47006367,4.6,6.75,,,,6.5,7.0,9.25,2.0,,7.58,,,20.25,13.35,
22,47006377,5.0,7.25,,,,2.0,5.5,8.75,3.2,,5.42,,,14.75,15.45,
23,47006379,4.6,6.0,,,,2.5,5.0,6.0,3.0,,4.5,,,13.5,13.6,
24,47006385,6.6,6.5,,,,5.0,6.25,8.25,4.2,,6.5,,,17.75,17.3,
25,47006388,6.4,6.5,1.5,4.5,5.0,3.5,6.0,8.75,3.4,3.67,6.08,12.4,15.9,16.0,16.3,11.3
26,47006395,4.6,5.5,,,,3.0,5.25,6.75,3.4,,5.0,,,13.75,13.5,
27,47006417,4.2,6.75,,,,3.0,5.25,6.25,2.0,,4.83,,,15.0,12.95,
28,47007188,5.4,7.5,,,,6.75,6.75,8.5,5.8,,7.33,,,21.0,18.7,
29,47007194,4.0,6.25,,,,4.25,6.0,6.75,3.6,,5.67,,,16.5,13.85,
30,47007198,4.2,6.25,,,,4.25,6.0,9.25,5.0,,6.5,,,16.5,15.45,
31,47007201,7.4,4.25,8.0,7.5,2.75,,,,3.4,6.08,,22.9,17.65,,15.05,18.8
32,47007221,6.0,7.0,,,,3.75,6.25,8.0,5.2,,6.0,,,17.0,18.2,
33,47007223,4.6,6.0,,,,4.75,6.25,6.75,5.0,,5.92,,,17.0,15.6,
34,47007226,4.8,6.25,,,,4.0,6.5,6.75,4.2,,5.75,,,16.75,15.25,
35,47007236,6.8,5.25,4.0,7.0,6.25,,,,9.0,5.75,,17.8,20.05,,21.05,19.8
36,47006840,6.0,6.0,5.75,5.25,6.75,,,,3.0,5.92,,17.0,18.0,,15,14.75
37,47006845,6.0,4.5,,,,2.75,4.5,8.25,3.6,,5.17,,,11.75,14.1,
38,47006235,3.4,5.75,,,,4.25,6.75,8.0,3.2,,6.33,,,16.75,12.35,
39,47006239,5.6,6.5,,,,3.5,6.0,8.25,2.6,,5.92,,,16.0,14.7,
40,47006253,5.2,4.5,4.0,4.25,4.75,,,,4.6,4.33,,13.45,14.2,,14.3,13.8
41,47006259,4.0,5.25,,,,4.5,6.0,6.75,1.2,,5.75,,,15.75,10.45,
42,47006265,7.2,6.5,5.25,5.25,6.0,,,,4.0,5.5,,17.7,18.45,,17.7,16.45
43,47006270,5.8,6.5,,,,4.5,5.25,8.5,5.8,,6.08,,,16.25,18.1,
44,47006304,5.0,6.0,,,,3.75,7.25,8.5,5.2,,6.5,,,17.0,16.2,
45,47006307,5.6,4.0,6.0,5.25,5.0,,,,3.8,5.42,,16.85,15.85,,13.4,15.4
46,47006555,5.6,6.5,,,,2.25,4.75,8.0,3.4,,5.0,,,13.5,15.5,
47,47006572,6.0,6.75,,,,5.75,5.75,9.75,3.8,,7.08,,,18.25,16.55,
48,47006593,5.2,5.25,,,,3.25,5.75,6.25,3.6,,5.08,,,14.25,14.05,
49,47006610,4.4,5.5,,,,3.25,6.75,7.25,1.8,,5.75,,,15.5,11.7,
50,47006597,5.6,6.25,,,,3.0,6.0,7.25,3.4,,5.42,,,15.25,15.25,
51,47006599,4.0,6.5,,,,3.0,6.0,7.75,3.8,,5.58,,,15.5,14.3,
52,47006601,4.4,5.5,,,,2.75,6.5,8.0,2.6,,5.75,,,14.75,12.5,
53,47006405,6.0,6.5,6.25,4.25,5.25,,,,4.4,5.25,,16.5,15.5,,16.9,16.65
54,47006497,6.2,8.0,6.5,5.25,4.5,,,,3.8,5.42,,17.95,15.95,,18,16.5
55,47006501,6.8,7.5,7.0,5.75,4.75,,,,5.6,5.83,,19.55,17.3,,19.9,19.4
56,47006934,4.6,3.0,,,,4.75,5.25,9.0,3.4,,6.33,,,13.0,11,
57,47006937,7.6,7.75,4.5,6.75,7.5,,,,7.2,6.25,,18.85,21.85,,22.55,19.3
58,47006943,4.6,3.75,,,,7.5,7.25,6.75,3.2,,7.17,,,18.5,11.55,
59,47006955,6.2,6.5,7.25,4.25,2.5,,,,6.6,4.67,,17.7,12.95,,19.3,20.05
60,47006959,4.8,5.5,,,,2.75,6.5,7.25,3.4,,5.5,,,14.75,13.7,
61,47006972,6.0,5.5,2.25,6.25,5.75,,,,3.0,4.75,,14.5,18.0,,14.5,11.25
62,47007001,4.2,6.0,,,,4.75,6.25,7.5,1.4,,6.17,,,17.0,11.6,
63,47007005,6.0,3.5,5.75,3.5,3.5,,,,7.6,4.25,,15.25,13.0,,17.1,19.35
64,47007022,7.8,7.5,8.0,8.0,6.5,,,,6.2,7.5,,23.8,22.3,,21.5,22.0
65,47007379,2.8,5.75,,,,2.75,5.0,6.25,2.2,,4.67,,,13.5,10.75,
66,47007367,4.8,6.75,,,,4.75,4.75,9.25,3.8,,6.25,,,16.25,15.35,
67,47007413,5.4,4.0,,,,3.75,5.5,5.5,3.8,,4.92,,,13.25,13.2,
68,47007417,5.4,7.0,,,,4.5,6.25,7.5,3.2,,6.08,,,17.75,15.6,
69,47006401,5.0,6.5,4.75,5.25,4.25,,,,4.4,4.75,,15.0,14.5,,15.9,14.15
70,47008027,4.0,6.25,,,,4.5,6.25,8.75,2.8,,6.5,,,17.0,13.05,
71,47007985,4.8,5.75,,,,4.75,5.5,8.75,1.8,,6.33,,,16.0,12.35,
72,47007987,4.4,7.0,,,,3.5,6.75,6.25,4.6,,5.5,,,17.25,16,
73,47007817,2.0,4.5,,,,4.0,,,,,,,,,,
74,47007836,3.8,5.5,,,,6.5,,,,,,,,,,
75,47007846,3.4,6.0,,,,4.0,,,,,,,,,,
76,47007863,2.2,4.75,,,,3.5,,,,,,,,,,
77,47007888,3.6,5.0,,,,4.5,,,,,,,,,,
78,47007894,4.0,2.5,,,,2.0,,,,,,,,,,
79,47007649,4.4,6.0,,,,5.25,,,,,,,,,,
80,47007714,3.8,3.25,,,,5.25,,,,,,,,,,
81,47007740,6.6,6.0,,,,8.0,,,,,,,,,,
82,47007749,4.0,6.0,,,,,,,4.8,,,,,,14.8,
83,47007755,3.4,3.5,,,,3.75,,,,,,,,,,
84,47007808,6.6,5.25,,,,6.0,,,,,,,,,,
85,47007835,3.4,4.5,,,,3.0,,,,,,,,,,
86,47007838,4.0,5.25,,,,3.75,,,,,,,,,,
87,47007845,3.8,4.5,,,,3.0,,,,,,,,,,
88,47007907,4.6,4.0,,,,6.75,,,,,,,,,,
89,47007849,3.2,3.0,,,,3.5,,,3.2,,,,,,9.4,
90,47007869,2.6,4.0,,,,3.25,3.75,4.75,2.2,,3.92,,,11.0,8.8,
91,47007623,4.8,8.25,,,,7.75,,,,,,,,,,
92,47007681,4.0,6.25,,,,5.5,,,,,,,,,,
93,47009164,3.8,4.0,3.0,2.75,3.25,,,,3.6,3.0,,9.55,9.8,,11.4,10.4
94,47009175,4.8,4.75,4.5,4.5,2.25,,,,3.2,3.75,,13.8,11.55,,12.75,12.5
95,47009177,2.8,6.0,2.5,3.25,3.75,,,,3.6,3.17,,8.55,9.8,,12.4,8.9
96,47008711,5.6,5.75,6.0,4.75,5.75,,,,3.2,5.5,,16.35,16.1,,14.55,14.8
97,47008716,5.2,6.5,5.0,4.25,5.5,,,,2.2,4.92,,14.45,14.95,,13.9,12.4
98,47008717,6.0,6.0,6.5,4.5,3.5,,,,4.6,4.83,,17.0,14.0,,16.6,17.1
99,47008721,5.8,6.25,2.5,6.5,6.25,,,,5.6,5.08,,14.8,18.55,,17.65,13.9
100,47008724,6.6,5.75,7.0,5.5,3.75,,,,4.6,5.42,,19.1,15.85,,16.95,18.2
101,47008728,4.2,6.25,,,,3.75,5.25,8.5,3.6,,5.83,,,15.25,14.05,
102,47008748,5.2,6.5,6.5,6.75,8.0,,,,4.6,7.08,,18.45,19.95,,16.3,16.3
103,47008751,4.8,6.25,,,,4.0,4.75,8.0,2.6,,5.58,,,15.0,13.65,
104,47008758,6.0,6.0,4.5,5.5,5.0,,,,3.8,5.0,,16.0,16.5,,15.8,14.3
105,47008764,6.0,6.25,4.25,3.75,5.5,,,,2.6,4.5,,14.0,15.25,,14.85,12.85
106,47008768,6.8,7.0,3.25,5.0,4.25,,,,6.6,4.17,,15.05,16.05,,20.4,16.65
107,47008790,5.0,7.75,,,,4.25,7.75,8.25,4.2,,6.75,,,19.75,16.95,
108,47008792,6.6,6.25,2.25,5.5,6.5,,,,3.4,4.75,,14.35,18.6,,16.25,12.25
109,47008795,6.8,5.25,4.75,5.0,4.75,,,,7.2,4.83,,16.55,16.55,,19.25,18.75
110,47008536,5.8,6.0,5.5,4.75,5.5,,,,4.0,5.25,,16.05,16.05,,15.8,15.3
111,47008543,3.4,5.25,,,,2.5,5.0,7.75,4.2,,5.08,,,12.75,12.85,
112,47008300,5.6,5.75,5.0,5.25,4.5,,,,5.4,4.92,,15.85,15.35,,16.75,16.0
113,47008303,4.2,7.75,,,,4.75,6.25,8.5,4.6,,6.5,,,18.75,16.55,
114,47008316,5.2,6.5,,,,4.0,5.75,7.5,3.8,,5.75,,,16.25,15.5,
115,47008323,5.4,5.25,5.5,4.75,5.0,,,,4.4,5.08,,15.65,15.15,,15.05,15.3
116,47008330,5.4,6.5,,,,2.75,6.75,7.25,2.0,,5.58,,,16.0,13.9,
117,47008334,5.8,5.5,,,,4.75,7.5,7.75,3.6,,6.67,,,17.75,14.9,
118,47008341,5.4,7.5,5.5,4.5,5.25,,,,4.6,5.08,,15.4,15.15,,17.5,15.5
119,47008344,5.4,6.25,6.25,7.0,4.75,,,,4.0,6.0,,18.65,17.15,,15.65,15.65
120,47008346,6.0,5.25,,,,4.0,4.25,6.25,2.8,,4.83,,,13.5,14.05,
121,47009234,6.4,8.25,7.0,5.25,4.5,,,,4.6,5.58,,18.65,16.15,,19.25,18.0
122,47009240,5.4,5.0,6.25,5.75,4.25,,,,2.6,5.42,,17.4,15.4,,13,14.25
123,47009245,5.4,6.0,,,,1.75,4.0,7.25,2.6,,4.33,,,11.75,14,
124,47008563,7.4,6.75,5.75,8.5,8.25,,,,6.4,7.5,,21.65,24.15,,20.55,19.55
125,47008565,6.2,7.25,4.75,6.25,6.0,,,,4.2,5.67,,17.2,18.45,,17.65,15.15
126,47008569,6.2,4.0,5.75,4.0,4.25,,,,6.4,4.67,,15.95,14.45,,16.6,18.35
127,47008998,5.2,7.5,6.5,6.25,6.0,,,,4.6,6.25,,17.95,17.45,,17.3,16.3
128,47009007,7.4,7.5,8.0,7.75,4.75,,,,4.2,6.83,,23.15,19.9,,19.1,19.6
129,47009023,5.4,6.0,7.0,6.75,4.5,,,,3.0,6.08,,19.15,16.65,,14.4,15.4
130,47009031,6.6,4.25,7.75,4.75,5.0,,,,7.4,5.83,,19.1,16.35,,18.25,21.75
131,47010582,3.6,6.5,,,,4.75,4.75,6.25,2.6,,5.25,,,16.0,12.7,
132,47010589,6.2,6.5,5.5,6.5,7.75,,,,7.0,6.58,,18.2,20.45,,19.7,18.7
133,47010594,4.6,7.25,,,,4.75,5.5,7.75,3.4,,6.0,,,17.5,15.25,
134,47010600,4.0,5.75,,,,5.5,5.25,7.75,2.6,,6.17,,,16.5,12.35,
135,47010607,4.4,6.75,,,,3.75,6.5,7.25,2.4,,5.83,,,17.0,13.55,
136,47010613,3.6,4.25,,,,2.75,6.0,7.0,2.6,,5.25,,,13.0,10.45,
137,47010619,5.0,6.0,,,,5.5,6.0,8.0,2.6,,6.5,,,17.5,13.6,
138,47010625,6.4,6.25,3.75,4.25,5.0,,,,4.2,4.33,,14.4,15.65,,16.85,14.35
139,47010629,4.6,7.0,,,,3.75,7.0,7.0,3.2,,5.92,,,17.75,14.8,
140,47010631,4.4,7.0,,,,4.5,7.25,8.5,4.2,,6.75,,,18.75,15.6,
141,47010993,3.6,5.75,,,,5.0,7.25,8.0,3.2,,6.75,,,18.0,12.55,
142,47010996,2.8,5.5,,,,3.75,5.0,5.0,2.6,,4.58,,,14.25,10.9,
143,47010999,4.2,5.5,,,,2.5,5.5,7.0,4.0,,5.0,,,13.5,13.7,
144,47010481,5.0,7.25,5.25,5.75,5.75,,,,3.4,5.58,,16.0,16.5,,15.65,13.65
145,47010518,5.8,7.75,7.25,6.0,6.75,,,,4.6,6.67,,19.05,18.55,,18.15,17.65
146,47010469,5.6,6.75,5.5,7.25,4.25,,,,3.6,5.67,,18.35,17.1,,15.95,14.7
147,47010486,4.8,6.5,4.5,6.0,3.25,,,,3.4,4.58,,15.3,14.05,,14.7,12.7
148,47010497,4.2,6.5,3.75,4.5,3.0,,,,4.4,3.75,,12.45,11.7,,15.1,12.35
149,47010523,5.8,7.25,,,,3.25,4.5,6.75,1.4,,4.83,,,15.0,14.45,
150,47010527,4.4,6.25,,,,4.5,6.25,7.5,3.4,,6.08,,,17.0,14.05,
151,47010565,5.4,7.5,,,,3.5,5.25,8.75,3.4,,5.83,,,16.25,16.3,
152,47010568,4.0,6.0,,,,2.75,4.5,8.0,4.6,,5.08,,,13.25,14.6,
153,47010597,3.8,7.0,,,,3.5,6.75,7.25,3.0,,5.83,,,17.25,13.8,
154,47010599,5.4,6.75,6.0,5.5,5.0,,,,3.8,5.5,,16.9,15.9,,15.95,15.2
155,47010608,5.0,6.0,,,,4.5,6.0,7.75,3.2,,6.08,,,16.5,14.2,
