,SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
0,44002041,5.2,7.75,,,,5.5,7.5,6.75,5.0,,6.58,,,20.75,17.95,
1,44002046,3.6,5.58,,,,2.5,5.0,7.25,3.8,,4.92,,,13.08,12.98,
2,44002049,5.8,8.25,,,,4.5,6.25,7.75,7.0,,6.17,,,19.0,21.05,
3,44002051,6.0,6.75,,,,4.25,6.75,7.0,5.4,,6.0,,,17.75,18.15,
4,44002251,5.0,6.5,,,,4.25,4.25,7.0,3.6,,5.17,,,15.0,15.1,
5,44002244,3.2,6.25,,,,2.75,6.25,7.75,3.8,,5.58,,,15.25,13.25,
6,44002247,6.2,9.0,,,,3.75,5.0,7.5,8.8,,5.42,,,17.75,24,
7,44002256,4.4,6.5,,,,2.25,4.5,8.5,3.8,,5.08,,,13.25,14.7,
8,44002259,6.0,7.0,,,,5.75,7.5,7.75,5.8,,7.0,,,20.25,18.8,
9,44002262,4.8,5.75,,,,4.75,6.0,8.75,5.6,,6.5,,,16.5,16.15,
10,44002274,3.8,5.0,,,,3.5,6.5,8.25,3.6,,6.08,,,15.0,12.4,
11,44002278,4.2,6.0,,,,4.0,6.0,8.75,4.4,,6.25,,,16.0,14.6,
12,44002282,6.2,5.75,,,,4.5,8.0,7.75,5.2,,6.75,,,18.25,17.15,
13,44002284,4.6,5.0,,,,4.75,7.25,8.25,3.2,,6.75,,,17.0,12.8,
14,44002286,5.0,5.75,,,,4.25,6.25,7.0,4.6,,5.83,,,16.25,15.35,
15,44002288,6.2,7.0,,,,5.75,6.75,9.75,7.4,,7.42,,,19.5,20.6,
16,44002271,5.2,6.0,,,,4.75,6.5,8.25,4.2,,6.5,,,17.25,15.4,
17,44001823,6.2,5.75,7.25,5.5,7.25,,,,7.4,6.67,,18.95,18.95,,19.35,20.85
18,44002416,4.4,6.0,,,,3.25,6.5,7.75,2.8,,5.83,,,15.75,13.2,
19,44002430,5.0,4.0,,,,2.75,6.0,9.0,4.6,,5.92,,,12.75,13.6,
20,44002444,4.6,6.0,,,,4.0,6.0,8.25,3.2,,6.08,,,16.0,13.8,
21,44002450,4.0,5.0,,,,3.25,5.5,8.0,5.8,,5.58,,,13.75,14.8,
