,SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
0,64002493,6.0,7.0,4.5,6.0,7.0,,,,3.0,5.83,,16.5,19.0,,16,13.5
1,64002509,7.0,7.0,4.25,6.75,6.75,,,,3.8,5.92,,18.0,20.5,,17.8,15.05
2,64001727,4.2,6.5,3.0,5.0,6.0,,,,5.4,4.67,,12.2,15.2,,16.1,12.6
3,64001750,4.0,7.5,3.75,3.0,4.25,,,,6.8,3.67,,10.75,11.25,,18.3,14.55
4,64001755,5.8,7.25,4.25,4.25,3.25,,,,2.4,3.92,,14.3,13.3,,15.45,12.45
5,64001757,6.0,8.0,5.25,7.75,7.25,,,,5.4,6.75,,19.0,21.0,,19.4,16.65
6,64001759,5.0,7.09,3.5,4.75,6.5,,,,3.0,4.92,,13.25,16.25,,15.09,11.5
7,64001747,6.2,7.5,4.5,7.25,5.5,,,,4.4,5.75,,17.95,18.95,,18.1,15.1
8,64001761,4.6,4.25,5.5,4.75,4.75,,,,3.8,5.0,,14.85,14.1,,12.65,13.9
9,64001763,5.0,6.25,4.0,4.75,6.0,,,,2.8,4.92,,13.75,15.75,,14.05,11.8
10,64001765,3.8,7.5,3.75,3.5,4.75,,,,2.4,4.0,,11.05,12.05,,13.7,9.95
11,64001745,5.0,7.25,4.0,5.25,6.25,,,,5.6,5.17,,14.25,16.5,,17.85,14.6
12,64001776,4.6,6.25,2.5,4.0,5.0,,,,2.2,3.83,,11.1,13.6,,13.05,9.3
13,64001793,6.2,8.0,3.75,6.5,5.75,,,,5.2,5.33,,16.45,18.45,,19.4,15.15
14,64001796,5.0,5.83,2.5,2.25,3.75,,,,4.0,2.83,,9.75,11.0,,14.83,11.5
15,64001968,4.8,4.5,3.0,5.0,1.75,,,,2.0,3.25,,12.8,11.55,,11.3,9.8
16,64001969,6.0,7.75,4.0,3.5,4.75,,,,2.8,4.08,,13.5,14.25,,16.55,12.8
17,64001558,4.6,7.5,4.0,4.75,3.25,,,,3.0,4.0,,13.35,12.6,,15.1,11.6
18,64001567,4.2,7.41,5.0,4.5,4.0,,,,4.4,4.5,,13.7,12.7,,16.01,13.6
19,64001979,3.2,2.5,,,,3.5,5.0,,,,,,,11.0,,
20,64001996,2.8,2.5,,,,2.0,4.25,,,,,,,8.75,,
21,64002016,4.8,7.5,,,,5.25,6.25,,,,,,,19.0,,
22,64002108,3.4,7.5,,,,2.75,5.25,,,,,,,15.5,,
