,SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
0,59005679,3.8,6.5,,,,7.5,6.75,8.75,4.8,,7.67,,,20.75,15.1,
1,59005685,5.0,4.25,,,,4.0,4.75,8.0,2.4,,5.58,,,13.0,11.65,
2,59005690,4.8,6.5,,,,5.0,6.0,8.0,5.0,,6.33,,,17.5,16.3,
3,59005706,3.0,5.0,,,,1.25,5.25,7.5,2.4,,4.67,,,11.5,10.4,
4,59005708,2.8,4.5,,,,4.25,6.25,6.75,2.4,,5.75,,,15.0,9.7,
5,59005711,2.2,3.75,,,,5.0,5.5,6.75,3.0,,5.75,,,14.25,8.95,
6,59005718,1.6,5.0,,,,2.75,3.25,7.0,3.4,,4.33,,,11.0,10,
7,59005719,4.0,4.25,4.75,6.0,5.0,,,,2.8,5.25,,14.75,15.0,,11.05,11.55
8,59005720,4.8,7.5,,,,5.75,5.5,9.0,4.2,,6.75,,,18.75,16.5,
9,59005721,4.0,3.75,,,,2.25,5.25,7.0,3.6,,4.83,,,11.25,11.35,
10,59005733,3.6,4.75,,,,2.25,2.5,7.0,3.0,,3.92,,,9.5,11.35,
11,59005738,5.0,6.5,4.75,3.0,4.25,,,,4.2,4.0,,12.75,12.25,,15.7,13.95
12,59005742,2.6,5.5,,,,3.0,5.25,7.25,2.2,,5.17,,,13.75,10.3,
13,59005392,5.6,6.75,,,,3.75,4.5,6.5,4.0,,4.92,,,15.0,16.35,
14,59005395,3.4,5.75,,,,4.5,5.5,8.25,3.4,,6.08,,,15.75,12.55,
15,59005396,5.2,6.75,5.0,5.5,5.25,,,,4.2,5.25,,15.7,15.95,,16.15,14.4
16,59005397,3.8,4.5,,,,2.75,5.0,8.25,2.4,,5.33,,,12.25,10.7,
17,59005589,1.6,3.25,,,,3.5,4.5,5.25,3.4,,4.42,,,11.25,8.25,
18,59005591,4.4,5.0,,,,4.5,4.75,8.25,3.6,,5.83,,,14.25,13,
19,59005599,2.8,3.75,,,,4.0,4.25,5.75,2.0,,4.67,,,12.0,8.55,
20,59005603,4.4,5.0,,,,4.75,6.0,8.0,3.2,,6.25,,,15.75,12.6,
21,59005607,3.6,5.75,3.25,3.25,6.0,,,,3.2,4.17,,10.1,12.85,,12.55,10.05
22,59005611,3.0,6.0,,,,2.75,5.0,6.0,2.0,,4.58,,,13.75,11,
23,59005619,2.8,4.25,,,,4.0,5.5,8.0,2.2,,5.83,,,13.75,9.25,
24,59005629,4.2,6.5,,,,3.25,6.25,8.0,3.0,,5.83,,,16.0,13.7,
25,59005633,5.6,5.75,,,,4.0,6.0,7.0,2.4,,5.67,,,15.75,13.75,
26,59005865,5.8,6.0,,,,5.75,5.0,7.5,3.8,,6.08,,,16.75,15.6,
27,59005869,4.0,6.0,3.75,3.5,3.25,,,,2.8,3.5,,11.25,10.75,,12.8,10.55
28,59005885,4.0,5.5,,,,3.75,6.0,8.5,3.6,,6.08,,,15.25,13.1,
29,59005890,4.8,6.0,,,,5.0,7.25,8.75,6.4,,7.0,,,18.25,17.2,
30,59005892,4.2,6.5,,,,4.25,5.75,8.0,2.8,,6.0,,,16.5,13.5,
31,59005898,2.8,5.5,,,,3.0,6.5,7.5,4.6,,5.67,,,15.0,12.9,
32,59005903,3.4,4.25,,,,2.75,3.0,6.75,3.0,,4.17,,,10.0,10.65,
33,59005913,5.8,5.5,,,,3.75,5.75,8.0,5.0,,5.83,,,15.0,16.3,
34,59004719,5.8,7.0,6.0,6.25,6.25,,,,3.6,6.17,,18.05,18.3,,16.4,15.4
35,59004721,3.4,3.75,,,,2.75,4.5,4.0,2.2,,3.75,,,11.0,9.35,
