,SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
0,58000318,2.6,4.5,,,,3.75,4.75,8.0,3.6,,5.5,,,13.0,10.7,
1,58000321,5.2,5.75,5.75,3.0,3.75,,,,4.8,4.17,,13.95,11.95,,15.75,15.75
2,58000324,2.6,5.0,,,,3.0,4.25,7.25,2.6,,4.83,,,12.25,10.2,
3,58000326,2.6,4.5,,,,4.25,5.0,7.75,2.2,,5.67,,,13.75,9.3,
4,58000333,3.4,5.5,,,,3.5,6.0,6.75,3.0,,5.42,,,15.0,11.9,
5,58000342,3.0,5.0,,,,3.75,4.75,8.25,3.0,,5.58,,,13.5,11,
6,58000345,3.6,6.75,,,,4.5,5.75,7.75,3.8,,6.0,,,17.0,14.15,
7,58000350,3.0,4.75,,,,2.5,4.0,7.0,3.0,,4.5,,,11.25,10.75,
8,58000352,5.0,5.0,,,,4.25,5.5,7.0,2.6,,5.58,,,14.75,12.6,
9,58000355,5.4,6.75,,,,4.25,5.5,7.75,4.4,,5.83,,,16.5,16.55,
10,58000361,2.8,4.5,,,,4.5,5.5,5.25,2.2,,5.08,,,14.5,9.5,
11,58000080,3.2,5.0,,,,3.5,4.25,6.75,2.4,,4.83,,,12.75,10.6,
12,58000083,3.4,6.25,,,,3.0,5.25,7.75,2.4,,5.33,,,14.5,12.05,
13,58000072,4.2,3.75,,,,5.25,4.75,8.5,2.6,,6.17,,,13.75,10.55,
14,58000075,3.6,3.25,,,,3.5,5.25,7.75,3.8,,5.5,,,12.0,10.65,
15,58000085,2.6,4.0,,,,3.25,5.0,6.5,2.2,,4.92,,,12.25,8.8,
16,58000091,4.6,7.75,,,,4.75,6.75,8.75,5.0,,6.75,,,19.25,17.35,
17,58000249,6.0,7.0,,,,6.75,7.0,9.0,5.0,,7.58,,,20.75,18,
18,58000266,4.8,6.0,4.5,5.5,4.5,,,,3.8,4.83,,14.8,14.8,,14.6,13.1
19,58000172,5.4,5.0,5.25,4.25,4.75,,,,3.8,4.75,,14.9,14.4,,14.2,14.45
20,58000157,6.4,3.75,5.75,2.75,2.5,,,,5.6,3.67,,14.9,11.65,,15.75,17.75
21,58000161,4.0,5.75,2.25,3.25,4.0,,,,2.4,3.17,,9.5,11.25,,12.15,8.65
22,58000165,5.4,3.5,3.5,4.5,5.0,,,,6.0,4.33,,13.4,14.9,,14.9,14.9
23,58000203,4.8,4.5,3.0,5.25,4.75,,,,4.0,4.33,,13.05,14.8,,13.3,11.8
24,58000205,5.6,5.75,3.0,4.75,5.0,,,,3.2,4.25,,13.35,15.35,,14.55,11.8
25,58000207,6.2,5.5,6.0,3.5,6.75,,,,5.4,5.42,,15.7,16.45,,17.1,17.6
26,58000224,4.0,5.0,4.5,4.25,6.0,,,,2.4,4.92,,12.75,14.25,,11.4,10.9
