,SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
0,24002636,5.4,5.0,,,,2.75,7.0,7.75,3.0,,5.83,,,14.75,13.4,
1,24002638,5.6,5.0,,,,3.0,5.25,7.75,2.6,,5.33,,,13.25,13.2,
2,24002640,6.2,6.75,,,,5.25,7.0,8.5,4.2,,6.92,,,19.0,17.15,
3,24002642,4.4,6.75,,,,6.5,8.0,7.5,4.2,,7.33,,,21.25,15.35,
4,24002629,4.0,4.75,,,,3.0,3.75,7.75,2.2,,4.83,,,11.5,10.95,
5,24002631,5.6,8.0,,,,3.75,7.5,8.75,4.4,,6.67,,,19.25,18,
6,24002633,5.8,7.0,,,,4.5,7.25,7.5,4.4,,6.42,,,18.75,17.2,
7,24002885,5.0,8.25,,,,3.0,6.0,8.25,3.2,,5.75,,,17.25,16.45,
8,24002887,5.0,6.0,,,,4.25,5.25,7.25,3.2,,5.58,,,15.5,14.2,
9,24002891,4.2,5.5,,,,1.75,5.75,6.25,2.8,,4.58,,,13.0,12.5,
10,24002898,6.6,6.75,6.5,6.25,6.25,,,,3.4,6.33,,19.35,19.1,,16.75,16.5
11,24002899,2.4,6.25,,,,3.5,4.75,7.25,2.6,,5.17,,,14.5,11.25,
12,24002908,5.8,7.0,,,,3.5,4.75,9.0,3.8,,5.75,,,15.25,16.6,
13,24002914,2.0,5.5,,,,2.0,5.0,7.75,2.0,,4.92,,,12.5,9.5,
14,24001401,5.8,5.0,6.25,5.75,4.25,,,,3.6,5.42,,17.8,15.8,,14.4,15.65
15,24001415,5.8,7.5,,,,4.5,8.0,9.0,2.8,,7.17,,,20.0,16.1,
16,24001421,3.4,7.25,,,,6.25,7.5,8.5,2.6,,7.42,,,21.0,13.25,
17,24001436,4.4,5.5,,,,3.75,5.0,7.5,3.6,,5.42,,,14.25,13.5,
18,24001438,6.0,7.5,,,,4.25,8.0,9.5,4.6,,7.25,,,19.75,18.1,
19,24001441,3.4,6.5,,,,4.0,5.5,9.75,2.8,,6.42,,,16.0,12.7,
