,SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
0,25013201,6.2,6.0,,,,3.25,5.75,5.5,3.4,,4.83,,,15.0,15.6,
1,25013210,6.6,6.25,,,,2.75,6.5,6.25,4.4,,5.17,,,15.5,17.25,
2,25013209,5.6,6.5,2.5,6.5,5.25,,,,3.0,4.75,,14.6,17.35,,15.1,11.1
3,25013211,5.8,6.75,5.25,4.75,4.0,,,,3.6,4.67,,15.8,14.55,,16.15,14.65
4,25013222,3.8,5.75,,,,3.75,5.75,6.75,3.6,,5.42,,,15.25,13.15,
5,25013229,7.0,6.75,6.75,5.5,5.75,,,,4.4,6.0,,19.25,18.25,,18.15,18.15
6,25013234,5.6,6.0,,,,2.75,4.5,7.5,3.2,,4.92,,,13.25,14.8,
7,25015443,7.0,5.75,6.0,7.0,4.25,,,,4.0,5.75,,20.0,18.25,,16.75,17.0
8,25015427,7.4,6.5,6.5,7.5,5.25,,,,3.6,6.42,,21.4,20.15,,17.5,17.5
9,25015459,6.0,7.25,6.5,4.75,4.75,,,,3.4,5.33,,17.25,15.5,,16.65,15.9
10,25015916,5.6,6.25,4.75,4.25,6.0,,,,4.6,5.0,,14.6,15.85,,16.45,14.95
11,25015921,5.6,6.75,5.5,5.25,4.25,,,,5.0,5.0,,16.35,15.1,,17.35,16.1
12,25015931,5.0,4.5,,,,4.25,4.5,5.0,2.4,,4.58,,,13.25,11.9,
13,25015933,6.6,5.75,4.25,4.75,4.25,,,,2.8,4.42,,15.6,15.6,,15.15,13.65
14,25015936,6.6,6.25,7.0,7.0,5.5,,,,4.0,6.5,,20.6,19.1,,16.85,17.6
15,25015952,8.2,8.0,7.5,7.75,6.75,,,,6.0,7.33,,23.45,22.7,,22.2,21.7
16,25015955,6.2,5.5,6.0,4.25,2.25,,,,4.0,4.17,,16.45,12.7,,15.7,16.2
17,25015960,5.0,7.75,,,,5.75,8.75,8.75,2.4,,7.75,,,22.25,15.15,
18,25015965,6.2,6.25,5.75,6.5,5.0,,,,4.4,5.75,,18.45,17.7,,16.85,16.35
