,SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
0,51000001,6.4,7.25,3.0,4.5,6.0,,,,6.2,4.5,,4.63,5.63,,6.62,5.2
1,51000002,5.4,7.25,5.0,4.0,4.25,,,,4.4,4.42,,4.8,4.55,,5.68,4.93
2,51000003,5.2,7.25,,,,4.5,5.75,6.75,5.0,,5.67,,,5.83,5.82,
3,51000004,4.6,6.0,,,,3.0,4.25,5.75,2.0,,4.33,,,4.42,4.2,
4,51000005,5.6,5.75,5.5,4.25,4.75,,,,4.4,4.83,,5.12,4.87,,5.25,5.17
5,51000006,4.4,5.5,4.75,3.0,3.75,,,,3.2,3.83,,4.05,3.72,,4.37,4.12
6,51000007,7.4,5.5,3.75,7.0,7.5,,,,5.8,6.08,,6.05,7.3,,6.23,5.65
7,51000008,7.6,8.25,3.75,4.0,4.25,,,,7.4,4.0,,5.12,5.28,,7.75,6.25
8,51000009,5.0,4.75,2.5,4.0,6.25,,,,4.0,4.25,,3.83,5.08,,4.58,3.83
9,51000010,7.8,5.75,5.25,5.5,6.5,,,,3.0,5.75,,6.18,6.6,,5.52,5.35
10,51000011,5.2,8.0,,,,5.5,7.0,9.0,7.0,,7.17,,,6.83,6.73,
11,51000012,5.8,7.25,6.25,4.5,5.0,,,,5.4,5.25,,5.52,5.1,,6.15,5.82
12,51000013,4.6,8.0,,,,3.75,5.5,7.0,5.8,,5.42,,,5.75,6.13,
13,51000014,6.8,5.75,6.0,5.75,4.0,,,,3.8,5.25,,6.18,5.52,,5.45,5.53
14,51000015,4.8,7.0,,,,4.0,5.0,5.5,3.4,,4.83,,,5.33,5.07,
15,51000016,6.0,5.0,,,,4.25,5.25,7.25,5.0,,5.58,,,4.83,5.33,
16,51000017,4.6,7.0,,,,3.75,6.25,7.0,4.0,,5.67,,,5.67,5.2,
17,51000018,7.4,8.5,,,,5.0,6.0,8.25,5.0,,6.42,,,6.5,6.97,
18,51000019,6.2,6.0,5.0,5.25,3.25,,,,5.2,4.5,,5.48,4.9,,5.8,5.47
19,51000020,6.4,8.0,3.0,6.5,6.75,,,,4.4,5.42,,5.3,6.55,,6.27,4.6
20,51000021,5.4,6.58,5.5,5.75,4.75,,,,5.6,5.33,,5.55,5.3,,5.86,5.5
21,51000022,3.0,4.25,,,,3.5,4.5,6.5,3.2,,4.83,,,4.08,3.48,
