,SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
0,42010930,5.6,4.75,6.75,4.25,4.0,,,,5.0,5.0,,16.6,13.85,,15.35,17.35
1,42010934,5.8,5.25,6.5,4.75,4.25,,,,6.0,5.17,,17.05,14.8,,17.05,18.3
2,42009962,3.4,2.25,,,,1.75,5.25,5.75,2.4,,4.25,,,9.25,8.05,
3,42007653,3.2,5.0,,,,4.5,6.25,6.5,3.0,,5.75,,,15.75,11.2,
4,42007655,3.6,6.5,,,,3.0,4.75,5.0,4.6,,4.25,,,14.25,14.7,
5,42007828,4.8,3.75,,,,4.5,6.5,5.25,2.6,,5.42,,,14.75,11.15,
6,42008000,5.8,6.5,,,,2.0,3.75,6.0,6.8,,3.92,,,12.25,19.1,
7,42008053,5.6,3.25,3.5,6.0,6.25,,,,3.8,5.25,,15.1,17.85,,12.65,12.9
8,42008169,5.6,6.75,6.0,4.25,5.75,,,,2.6,5.33,,15.85,15.6,,14.95,14.2
9,42008224,5.4,6.25,4.25,5.5,5.5,,,,3.2,5.08,,15.15,16.4,,14.85,12.85
10,42008340,5.6,4.0,5.75,5.0,3.75,,,,3.4,4.83,,16.35,14.35,,13,14.75
11,42008341,4.0,6.25,,,,2.75,6.75,8.75,3.0,,6.08,,,15.75,13.25,
12,42008342,5.0,4.5,5.75,2.75,4.5,,,,3.0,4.33,,13.5,12.25,,12.5,13.75
13,42007620,5.8,7.25,,,,4.75,8.0,9.25,6.2,,7.33,,,20.0,19.25,
14,42007673,6.0,6.25,5.75,5.75,5.5,,,,6.0,5.67,,17.5,17.25,,18.25,17.75
15,42014466,7.0,,,4.25,7.5,,,,,,,,18.75,,,
16,42014572,4.6,,,4.5,4.5,,,,,,,,13.6,,,
17,42014574,3.0,4.0,,,,3.0,,,,,,,,,,
18,42014107,4.6,3.25,5.0,4.25,3.5,,,,3.0,4.25,,13.85,12.35,,10.85,12.6
19,42014160,4.4,4.5,,,,1.75,5.25,7.75,3.0,,4.92,,,11.5,11.9,
20,42006126,5.2,6.25,2.75,5.0,6.25,,,,3.6,4.67,,12.95,16.45,,15.05,11.55
21,42004692,5.4,5.25,,,,3.25,7.5,7.5,2.8,,6.08,,,16.0,13.45,
22,42004693,5.0,6.25,,,,5.75,9.0,7.25,2.0,,7.33,,,21.0,13.25,
23,42004865,5.8,6.5,3.75,4.75,5.0,,,,4.4,4.5,,14.3,15.55,,16.7,13.95
24,42004191,5.8,6.5,,,,4.5,5.5,7.0,4.0,,5.67,,,16.5,16.3,
25,42004192,3.8,4.25,,,,3.5,4.5,6.5,3.6,,4.83,,,12.25,11.65,
