,SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
0,62001503,6.6,8.25,4.5,5.25,5.25,,,,3.8,5.0,,16.35,17.1,,18.65,14.9
1,62001510,5.4,7.0,5.5,4.0,5.25,,,,2.8,4.92,,14.9,14.65,,15.2,13.7
2,62001373,5.6,6.75,3.25,3.25,4.5,,,,4.2,3.67,,12.1,13.35,,16.55,13.05
3,62001378,5.2,6.5,3.0,4.0,4.0,,,,3.6,3.67,,12.2,13.2,,15.3,11.8
4,62001413,5.0,6.25,3.75,4.75,5.25,,,,2.0,4.58,,13.5,15.0,,13.25,10.75
5,62001423,4.4,6.5,3.0,3.5,4.5,,,,3.6,3.67,,10.9,12.4,,14.5,11.0
6,62001438,5.4,6.5,4.0,4.5,4.25,,,,3.6,4.25,,13.9,14.15,,15.5,13.0
7,62001458,5.0,6.75,4.75,7.75,5.0,,,,3.2,5.83,,17.5,17.75,,14.95,12.95
8,62001467,6.2,4.0,4.75,6.5,5.5,,,,3.4,5.58,,17.45,18.2,,13.6,14.35
9,62002926,2.6,7.5,,,,4.0,5.25,7.75,3.4,,5.67,,,16.75,13.5,
10,62002932,2.4,6.0,,,,4.25,4.0,6.0,2.2,,4.75,,,14.25,10.6,
11,62002938,5.0,6.5,,,,3.0,6.75,8.0,2.6,,5.92,,,16.25,14.1,
12,62002940,6.2,7.5,7.0,7.5,4.5,,,,2.6,6.33,,20.7,18.2,,16.3,15.8
13,62002941,3.4,4.25,,,,4.25,6.25,7.75,2.6,,6.08,,,14.75,10.25,
14,62002947,3.0,5.0,,,,1.5,5.25,6.5,3.0,,4.42,,,11.75,11.0,
15,62002954,2.8,4.5,,,,2.5,4.0,8.0,3.0,,4.83,,,11.0,10.3,
16,62002960,5.0,6.25,,,,3.75,6.75,9.0,3.4,,6.5,,,16.75,14.65,
17,62002289,3.6,5.5,,,,3.75,4.5,6.25,3.4,,4.83,,,13.75,12.5,
18,62002281,3.2,4.0,,,,4.5,5.75,6.25,1.6,,5.5,,,14.25,8.8,
19,62002282,3.4,3.25,,,,3.0,3.5,5.0,2.4,,3.83,,,9.75,9.05,
20,62002255,2.2,5.5,,,,3.75,4.25,6.25,1.2,,4.75,,,13.5,8.9,
21,62002257,3.8,6.25,,,,5.25,5.25,6.25,3.0,,5.58,,,16.75,13.05,
22,62002261,3.4,2.5,,,,2.75,4.25,5.25,2.8,,4.08,,,9.5,8.7,
23,62002264,6.2,6.0,,,,5.0,5.5,7.75,2.2,,6.08,,,16.5,14.4,
24,62002268,2.8,4.0,,,,2.25,3.5,5.0,2.6,,3.58,,,9.75,9.4,
25,62002271,5.0,6.0,,,,4.75,7.0,6.5,3.0,,6.08,,,17.75,14.0,
26,62002966,3.8,7.5,,,,4.5,5.5,8.75,3.4,,6.25,,,17.5,14.7,
27,62002972,3.4,5.0,,,,2.5,5.0,7.5,3.6,,5.0,,,12.5,12.0,
28,62002980,5.0,6.0,6.25,4.75,4.5,,,,3.8,5.17,,16.0,14.25,,14.8,15.05
29,62002985,3.0,6.25,,,,2.5,4.75,8.5,2.8,,5.25,,,13.5,12.05,
30,62002994,2.8,2.75,,,,4.0,4.75,6.5,2.4,,5.08,,,11.5,7.95,
31,62001630,4.4,7.0,2.75,5.25,3.75,,,,1.6,3.92,,12.4,13.4,,13.0,8.75
32,62001538,5.4,8.5,5.75,5.75,5.0,,,,4.4,5.5,,16.9,16.15,,18.3,15.55
33,62001590,6.0,7.75,4.5,4.5,6.0,,,,5.2,5.0,,15.0,16.5,,18.95,15.7
34,62001516,5.0,6.75,3.75,5.25,3.25,,,,2.2,4.08,,14.0,13.5,,13.95,10.95
35,62001555,6.6,5.5,6.25,5.25,5.75,,,,2.4,5.75,,18.1,17.6,,14.5,15.25
36,62001624,5.8,9.0,5.0,6.75,7.0,,,,4.0,6.25,,17.55,19.55,,18.8,14.8
37,62001691,5.2,7.0,2.0,3.0,4.25,,,,3.0,3.08,,10.2,12.45,,15.2,10.2
38,62001700,4.4,6.75,3.0,5.25,4.75,,,,2.4,4.33,,12.65,14.4,,13.55,9.8
39,62001657,5.4,4.0,3.25,4.75,4.0,,,,4.2,4.0,,13.4,14.15,,13.6,12.85
40,62001659,6.2,5.75,5.0,5.0,5.5,,,,3.2,5.17,,16.2,16.7,,15.15,14.4
41,62001665,5.4,7.25,4.5,5.25,6.25,,,,3.6,5.33,,15.15,16.9,,16.25,13.5
42,62001701,5.2,5.0,5.25,3.25,5.25,,,,3.8,4.58,,13.7,13.7,,14.0,14.25
43,62002274,5.0,2.0,,,,3.0,4.5,4.75,2.8,,4.08,,,9.5,9.8,
44,62002276,2.8,4.25,,,,4.0,2.75,5.75,3.4,,4.17,,,11.0,10.45,
45,62001641,3.8,4.0,3.75,3.5,2.75,,,,2.6,3.33,,11.05,10.05,,10.4,10.15
46,62001648,2.8,6.0,,,,4.5,6.0,8.25,3.2,,6.25,,,16.5,12.0,
47,62001654,4.0,4.5,,,,2.5,5.5,7.25,2.4,,5.08,,,12.5,10.9,
48,62001660,5.4,4.75,2.75,2.25,2.5,,,,3.2,2.5,,10.4,10.15,,13.35,11.35
49,62001669,2.6,3.0,,,,1.75,5.0,6.0,2.2,,4.25,,,9.75,7.8,
50,62001676,4.0,7.5,,,,3.5,5.0,8.75,2.6,,5.75,,,16.0,14.1,
51,62001683,5.8,7.0,,,,4.75,6.75,9.0,3.2,,6.83,,,18.5,16.0,
52,62001690,5.2,8.5,,,,5.25,7.5,9.5,4.2,,7.42,,,21.25,17.9,
53,62001697,4.4,5.5,5.0,4.5,3.5,,,,3.8,4.33,,13.9,12.4,,13.7,13.2
54,62001374,5.4,4.25,,,,1.75,4.5,4.5,3.0,,3.58,,,10.5,12.65,
55,62001409,5.2,5.0,,,,5.5,7.0,8.25,2.4,,6.92,,,17.5,12.6,
56,62001406,3.0,6.25,,,,4.0,5.0,8.25,2.2,,5.75,,,15.25,11.45,
57,62001412,4.8,8.5,,,,3.75,5.0,9.0,3.8,,5.92,,,17.25,17.1,
58,62001376,4.6,5.0,,,,2.25,6.0,8.0,2.6,,5.42,,,13.25,12.2,
59,62001380,5.2,8.0,,,,3.75,7.5,8.5,3.0,,6.58,,,19.25,16.2,
60,62001673,7.6,5.0,6.75,6.5,3.5,,,,1.4,5.58,,20.85,17.6,,14.0,15.75
61,62001695,5.8,6.75,5.75,4.0,4.25,,,,3.6,4.67,,15.55,14.05,,16.15,15.15
62,62001381,3.0,4.25,,,,2.5,4.0,,,,,,,10.75,,
63,62001382,2.4,4.0,,,,4.0,4.75,,,,,,,12.75,,
64,62001392,2.4,3.0,,,,2.5,4.5,,,,,,,10.0,,
65,62001415,2.4,5.75,,,,4.0,5.25,,,,,,,15.0,,
66,62001428,3.8,3.25,,,,3.5,3.25,,,,,,,10.0,,
67,62001431,3.2,4.25,,,,4.25,6.25,,,,,,,14.75,,
68,62001432,5.4,,,3.5,4.25,,,,,,,,13.15,,,
69,62001505,2.8,3.5,,,,3.0,4.25,,,,,,,10.75,,
70,62001584,4.4,5.75,,,,4.75,6.75,,,,,,,17.25,,
71,62001592,3.2,3.0,,,,2.75,3.5,,,,,,,9.25,,
72,62001596,5.6,,5.25,5.5,4.0,,,,,4.92,,16.35,15.1,,,
73,62001621,2.6,5.0,,,,3.25,3.75,,,,,,,12.0,,
74,62001623,3.4,5.5,,,,4.0,,,,,,,,,,
75,62001388,3.0,5.5,,,,3.5,3.5,,,,,,,12.5,,
76,62001414,2.8,2.75,,,,3.25,5.5,,,,,,,11.5,,
77,62001449,2.0,4.5,,,,2.5,6.5,,,,,,,13.5,,
