33000033,5.40,5.25,2.40,,,,,4.50,6.50,8.00,6.33
33000034,4.80,4.00,,,,,,4.00,6.25,,
33000035,3.40,4.50,3.20,,,,,2.00,3.00,6.50,3.83
33000036,3.40,5.00,2.60,,,,,1.50,5.50,8.75,5.25
33000037,6.00,3.75,4.20,5.25,5.25,5.00,5.17,,,,
33000038,3.40,5.00,1.20,,,,,2.50,4.00,7.50,4.67
33000039,3.60,2.25,4.00,,,,,3.25,3.50,4.75,3.83
33000040,5.40,5.50,,,,,,5.25,7.50,,
33000041,3.40,7.00,3.00,,,,,4.25,4.75,7.75,5.58
33000042,7.60,4.50,5.80,8.00,8.00,7.00,7.67,,,,
33000043,6.20,6.00,5.00,,,,,4.50,5.50,8.00,6.00
33000044,3.20,3.75,4.20,,,,,3.50,3.75,6.25,4.50
33000045,4.60,4.75,2.80,,,,,3.00,6.25,6.75,5.33
33000046,6.00,5.75,3.00,6.25,6.75,3.75,5.58,,,,
33000047,5.40,5.25,3.20,,,,,3.25,5.75,7.50,5.50
33000048,3.80,5.00,3.00,,,,,4.25,5.50,6.75,5.50
33000049,3.80,5.25,3.40,,,,,2.75,5.75,7.50,5.33
33000050,3.20,4.00,1.80,,,,,4.75,4.75,8.00,5.83
33000051,7.80,5.75,9.00,7.75,5.00,5.00,5.92,,,,
33000052,3.00,4.50,,,,,,3.00,3.25,,
33000053,5.60,4.00,3.40,,,,,3.75,7.50,8.25,6.50
33000054,5.40,3.75,2.60,,,,,3.50,4.75,6.25,4.83
33000055,3.00,5.00,2.20,,,,,3.75,5.00,7.25,5.33
33000056,3.60,4.25,1.80,,,,,5.00,6.00,7.00,6.00
33000057,6.20,6.75,5.20,,,,,6.50,6.75,9.00,7.42
33000058,5.00,7.75,3.60,,,,,8.25,6.75,8.25,7.75
33000059,7.00,6.25,3.20,6.25,5.75,3.75,5.25,,,,
33000060,3.20,3.75,,,,,,3.00,4.50,,
33000061,7.00,5.25,1.20,5.00,5.50,4.25,4.92,,,,
33000062,7.20,4.50,2.60,6.25,5.25,3.50,5.00,,,,
33000063,4.20,2.50,2.60,,,,,3.50,5.00,8.00,5.50
33000064,4.00,5.00,3.20,,,,,4.50,5.75,6.75,5.67
33000065,6.20,6.00,4.00,,,,,5.50,6.50,7.75,6.58
33000066,3.80,4.00,2.80,,,,,3.00,4.50,5.50,4.33
33000067,4.00,2.75,3.20,,,,,2.50,3.00,5.00,3.50
33000068,4.00,4.50,2.60,4.75,3.75,4.50,4.33,,,,
33000069,5.20,5.75,3.80,,,,,5.25,7.00,8.50,6.92
33000070,6.40,3.75,2.40,5.25,6.50,5.50,5.75,,,,
33000071,3.00,5.25,2.60,,,,,4.00,4.75,7.25,5.33
33000072,5.60,4.25,1.60,5.25,4.75,4.25,4.75,,,,
33000073,5.20,6.00,2.80,,,,,2.00,4.50,8.25,4.92
33000074,5.60,5.75,2.80,6.25,4.75,3.75,4.92,,,,
33000075,3.80,5.25,2.80,,,,,2.00,6.00,6.75,4.92
33000076,3.40,6.00,3.60,,,,,3.75,7.00,5.75,5.50
33000077,2.40,4.50,2.60,,,,,4.50,5.50,7.25,5.75
33000078,3.60,3.25,2.40,,,,,1.75,5.25,5.25,4.08
33000079,3.00,4.50,2.20,,,,,5.00,5.00,8.00,6.00
33000080,6.60,3.25,6.80,8.25,3.50,4.75,5.50,,,,
33000081,3.00,3.50,1.60,,,,,4.75,6.25,5.50,5.50
33000082,4.40,5.00,3.00,,,,,4.00,6.25,7.50,5.92
33000083,3.60,5.75,1.80,,,,,4.50,5.00,6.25,5.25
33000085,2.40,6.50,1.40,,,,,4.00,5.25,7.00,5.42
33000086,4.00,4.25,3.00,,,,,4.50,6.50,7.25,6.08
33000087,6.00,6.00,3.00,,,,,4.50,6.50,9.00,6.67
33000088,6.40,5.50,1.40,2.50,4.50,3.50,3.50,,,,
33000089,4.60,4.75,1.60,,,,,3.00,3.00,3.50,3.17
33000090,5.80,5.00,2.80,,,,,4.00,5.75,7.00,5.58
33000091,2.80,4.50,,,,,,1.50,4.75,,
